School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type
23700000000000_98,0.21,0.4,39.38,5.09,55.13,28.97,1930,49375,100,13.73,205,62.7,36.2,21,14.05,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
39700000000000_99,0.24,0,100,0,0,26.29,1952,171534,41.5,8.44,199,37.33,49.49,63.06,13.55,0,1,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
1610000000000_100,0.11,0,100,0,0,27.86,2003,117917,97,6.5,98.5,80.37,19.56,37.46,24.35,0,0,0,,
41700000000000_101,0.15,0,100,0,0,27.17,1923,138869,38.5,62.98,161,20.95,51.16,36.06,20.75,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
1610000000000_102,0.05,12.89,85.76,0,1.35,27.4,2003,34545,100,6,1523.5,87.03,19.56,38.8,19.7,0,0,0,,
15700000000000_103,0.13,0,98.65,0,1.35,32.41,1998,39063,88,13.5,464,59.59,27.08,49.45,18.45,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
15600000000000_104,0.11,0,100,0,0,33.15,1985,28379,80,17.25,36,84.72,27.08,50.34,23.9,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope
9620000000000_105,0.16,0,76.97,4.94,18.09,27.96,2009,44803,69,16.79,16,45.48,18.13,33.85,17.1,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
9620000000000_106,0.19,0,74.26,5.6,20.14,27.17,1981,163333,73,44.21,16,21.27,18.13,17.67,10,0,0,0,,
9620000000000_107,0.2,0,78.72,7.13,14.14,27.14,1981,163333,73,44.21,16,21.27,18.13,17.67,10,0,0,0,,
9620000000000_108,0.23,0,42.01,30.19,27.8,26.39,1999,62805,84,32.27,16,45.48,18.13,33.85,25.55,0,0,0,,
9620000000000_109,0.23,0,85.41,13.56,0.73,26.39,1999,62805,68,32.27,16,45.48,18.13,33.85,25.55,0,0,0,,
9620000000000_110,0.22,0,79.52,15.56,4.92,26.59,2002,62841,55,14.28,16,49.36,18.13,34.49,33.1,0,0,0,,
9620000000000_111,0.23,0.32,48.73,36.17,14.79,25.49,1963,160438,25,36.26,16,29.48,18.13,24.19,13.15,0,0,0,,
1610000000000_112,0.07,0,100,0,0,28.52,1970,31292,49,24.59,1523.5,129.22,19.56,47.86,63.15,0,0,0,,
1610000000000_113,0.08,0,100,0,0,28.84,2006,57601,49,9.17,1523.5,208.36,19.56,39.63,46.3,0,0,0,,
1610000000000_114,0.09,0,100,0,0,27.99,2006,47938,70.5,16,1523.5,96.02,19.56,37.76,39.15,0,0,0,,
1610000000000_115,0.1,0,100,0,0,27.28,2005,66912,39,8.89,1523.5,129.22,19.56,34.8,25.95,0,0,0,,
1610000000000_116,0.09,0,100,0,0,28.74,2006,58750,64,29.14,1523.5,226.34,19.56,30.02,48.2,0,0,0,,
1610000000000_117,0.16,0,100,0,0,24.67,1935,250000,3,7.57,112.5,39.19,19.56,35.33,4.95,0,0,0,,
1610000000000_118,0.09,0,100,0,0,28.77,2007,46098,79,9.22,1523.5,155.95,19.56,32.79,42.85,0,0,0,,
1610000000000_119,0.13,0,100,0,0,25.82,1950,158750,10,16.57,20747,20.47,19.56,33.02,13.95,0,0,0,,
1610000000000_120,0.17,0,98.88,1.02,0.1,24.17,1940,208906,6,14.9,1894.5,31.66,19.56,30.32,6.7,0,0,0,,
44700000000000_121,0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,1894.5,56.91,53.65,44.73,35.45,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
6620000000000_122,0.15,0,100,0,0,29.67,2008,85290,90,8.05,1894.5,94.42,52.82,35.18,28.05,1,0,0,,
6620000000000_123,0.15,0.4,96.83,0,1.83,29.67,2008,85290,81,8.05,464,71.67,19.73,46.49,28.05,1,0,0,,
57700000000000_124,0.19,0,98.69,0,1.31,29.93,2010,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting
57700000000000_125,0.19,0,99.9,0,0,29.93,2010,97778,78,9.91,264,52.82,64.45,49.08,30.7,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting
57700000000000_126,0.19,0,98.56,0,0,29.93,1991,97778,78,9.91,13,52.82,64.45,49.08,30.7,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting
57700000000000_127,0.19,0,99.82,0.4,0,29.93,1953,97778,78,9.91,264,52.82,64.45,49.08,30.7,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting
43700000000000_128,0.08,0,100,0,0,29.39,1938,57049,59.5,8.86,241,79.07,52.82,38.68,36.45,0,0,0,HVAC- VAV System,HVAC
7620000000000_129,0.18,0,83.47,11.45,5.09,25.53,1960,82857,83,5.02,83,50.51,21.42,40.85,19.2,0,0,0,,
43700000000000_130,0.11,0,99.2,0,0.8,28.74,1975,129904,100,10.26,464,32.76,52.82,25.85,16.35,0,0,0,HVAC- VAV System,HVAC
43700000000000_131,0.13,0,99.84,0,0.16,29.07,1962,142162,9,9.93,1894.5,16.56,52.82,21.23,4.65,0,0,0,HVAC- VAV System,HVAC
43700000000000_132,0.13,0,100,0,0,28.83,1957,236324,33,9.64,15,11.12,52.82,28.54,12.75,0,0,0,HVAC- VAV System,HVAC
43700000000000_133,0.16,0,100,0,0,27.21,1957,213906,2.5,14.49,161,8.54,52.82,33.59,2.5,0,0,0,HVAC- VAV System,HVAC
43700000000000_134,0.13,0,97.04,0,2.96,29.58,1957,175385,7,15.5,199,13.09,52.82,32.31,2.5,0,0,0,HVAC- VAV System,HVAC
1750000000000_135,0.12,0,98.6,0,2.99,28.2,2005,250000,3,20.2,161,32.04,19.56,30.77,2.1,0,0,0,,
7620000000000_136,0.12,0,99.19,0,0.81,29.67,2007,129760,43,19.81,241,76.81,21.42,33.06,16.75,0,0,0,,
23700000000000_137,0.25,4.62,30.65,9.95,54.78,18.43,2003,66500,60,18.91,267,21.59,36.2,29.06,39.95,1,1,1,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_138,0.12,0,97,0,3,27.67,2004,79000,80,30.24,653.5,54.4,51.99,33.7,29.45,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
28700000000000_139,0.17,2.15,97.85,0,0,27.52,1976,55938,85.5,11.12,85.5,43.69,40.35,46.85,28.6,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
15100000000000_140,0.16,0,80.88,0,19.12,33.27,2011,49594,83,54.75,42,41.66,27.08,44.41,28.75,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
28700000000000_141,0.15,0,100,0,0,29.33,2017,133214,85.5,7.11,161,37.4,40.35,38.37,33.5,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
28700000000000_142,0.2,0,89,0,11,28.99,1930,95994,75.5,12.82,1523.5,36.71,40.35,27.15,10.9,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting
28700000000000_143,0.13,0,99.25,0,0.75,29.95,2003,90714,42,2,27.5,42.44,40.35,46.33,20.55,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
10800000000000_144,0.13,0,100,0,0,31.98,1951,34750,86.5,21.95,645,45.47,29.25,52.37,48.95,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
16700000000000_145,0.1,0,90.12,0,9.94,34.95,1922,59024,65,12.25,13,45.07,42.51,20.5,25.95,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
16700000000000_146,0.1,0,96.35,0,4.36,34.95,1997,59024,64,15.9,14.5,45.07,42.51,20.5,25.95,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
16700000000000_147,0.1,5.22,28.86,0,64.94,34.95,1999,59024,49,37.25,14.5,45.07,42.51,20.5,25.95,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
16700000000000_148,0.11,0,95.23,0,4.77,34.15,1992,41255,60,0.09,13,45.07,42.51,20.5,26.3,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
16700000000000_149,0.09,0,97.28,0,2.72,35.05,1939,37056,92.5,27.97,14.5,45.07,42.51,20.5,19.2,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
28700000000000_150,0.15,0.8,99.2,0,0,28.58,1949,82000,56,13.62,164,48.15,40.35,38.35,14.9,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
