"","Order","UID","School_ID","CDS_Code","char_prem_id","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Percent_LandCoverTotal","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","StudentEnrollment_mean","Staff","Student_Staff_Ratio","Diversity_Index","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","EEM","EE_Retrofit_Type","retrofit","ndvi_median_binary","retrofit_and_ndvi","Average_NDVI_median"
"46",454,"10600000000000_485","10600000000000_485",1.06217e+13,9783001767,0.15,"4.24","69.25","0","26.5","100",30.9,"1973",18942,77,NA,11.39,NA,NA,NA,139.45,29.25,67.85,27.75,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"47",455,"10600000000000_486","10600000000000_486",1.06217e+13,9783003853,0.14,"0","100","0","0","100",31.52,"1991",32188,94,NA,16.61,NA,NA,NA,112.4,29.25,54.36,37.7,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"48",456,"10600000000000_487","10600000000000_487",1.06217e+13,9783004896,0.11,"0","100","0","0","100",31.35,"2000",50991,95,NA,25.99,NA,NA,NA,74.51,29.25,48.4,46.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"49",457,"10600000000000_488","10600000000000_488",1.06217e+13,9783005939,0.13,"1.61","78.38","0","20.02","100",31.8,"2000",81859,89.5,NA,23.92,NA,NA,NA,54.65,29.25,42.53,27.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"50",458,"10600000000000_489","10600000000000_489",1.06217e+13,9783006982,0.12,"0","97.91","0","2.09","100",32.48,"1994",74688,84.5,NA,25.11,NA,NA,NA,82.06,29.25,56.02,27.55,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"51",460,"10600000000000_491","10600000000000_491",1.06217e+13,9783010111,0.11,"0","100","0","0","100",31.3,"1994",26949,81,NA,19.38,NA,NA,NA,119.77,29.25,46.63,33.55,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"52",461,"10600000000000_492","10600000000000_492",1.06217e+13,9783012197,0.14,"0","100","0","0","100",31.08,"1952",31172,96.5,NA,17.38,NA,NA,NA,112.4,29.25,54.36,45.95,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"53",462,"10600000000000_493","10600000000000_493",1.06217e+13,9783013240,0.1,"0","100","0","0","100",31.8,"1988",24063,98,NA,11.17,NA,NA,NA,139.07,29.25,54.12,42.35,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"54",463,"10600000000000_494","10600000000000_494",1.06217e+13,9783014283,0.14,"0","100","0","0","100",30.68,"1957",43056,94,NA,16.11,NA,NA,NA,80.23,29.25,46.97,42.9,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"55",464,"10600000000000_496","10600000000000_496",1.06217e+13,9783016369,0.15,"0","100","0","0","100",30.58,"1965",47759,95.5,NA,20.92,NA,NA,NA,74.17,29.25,44.62,35,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"56",467,"10600000000000_499","10600000000000_499",1.06217e+13,9783019498,0.12,"0","100","0","0","100",31.68,"1992",14602,99,NA,16.92,NA,NA,NA,119.77,29.25,58.2,43.65,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"57",468,"10600000000000_500","10600000000000_500",1.06217e+13,9783021584,0.14,"0","100","0","0","100",30.62,"1916",58185,93.5,NA,19.94,NA,NA,NA,120.22,29.25,44.57,52.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"58",469,"10600000000000_501","10600000000000_501",1.06217e+13,9783022627,0.13,"0","100","0","0","100",31.31,NA,35132,96.5,NA,16.35,NA,NA,NA,99.91,29.25,54.37,43.05,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"59",470,"10600000000000_502","10600000000000_502",1.06217e+13,9783024713,0.14,"0","76.1","0","23.9","100",31.11,"1958",NA,70.5,NA,13.16,NA,NA,NA,139.35,29.25,62.48,40.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"60",4136,"10600000000000_355","10600000000000_355",1.06241e+13,8980399050,0.17,NA,NA,NA,NA,NA,27.9,"2005",109115,65,NA,9.57,NA,NA,NA,80.23,29.25,46.2,19.1,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"61",4142,"10600000000000_448","10600000000000_448",1.06217e+13,9772718605,0.17,NA,NA,NA,NA,NA,29.55,"1980",103542,49,NA,17.57,NA,NA,NA,51.03,29.25,34.33,21.15,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"62",4143,"10600000000000_477","10600000000000_477",1.06217e+13,9772769712,0.17,NA,NA,NA,NA,NA,29.58,"2002",101894,86,NA,27.29,NA,NA,NA,95.32,29.25,40.79,37.1,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"63",4146,"10600000000000_495","10600000000000_495",1.06217e+13,9783015326,0.16,NA,NA,NA,NA,NA,30.34,"1980",101667,88,NA,20.54,NA,NA,NA,86.64,29.25,47.76,40.25,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
