UID,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Student_Staff_Ratio,Diversity_Index,Students_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median,StudentEnrollment_mean,Staff
10600000000000_60,10600000000000_60,0.15,2.66,96.71,0,0.62,100,29.8,1958,74545,68.5,NA,NA,NA,103.13,29.25,47.83,24.65,0,0,0,NA,NA,16.45
10600000000000_61,10600000000000_61,0.16,0,100,0,0,100,28.15,1991,151250,41,NA,NA,NA,25.47,29.25,37.15,12.1,1,0,0,NA,NA,45.46
10600000000000_62,10600000000000_62,0.16,0,100,0,0,100,28.52,1994,151250,34,NA,NA,NA,25.47,29.25,37.15,11.6,0,0,0,NA,NA,27.46
10600000000000_63,10600000000000_63,0.14,0,94.9,0,5.1,100,27.64,2000,123393,58.5,NA,NA,NA,24.94,29.25,40.27,13.45,1,0,0,NA,NA,57.03
10600000000000_64,10600000000000_64,0.16,0,99.92,0,0.08,100,29.8,1976,132788,50.5,NA,NA,NA,46.67,29.25,33.98,16.95,1,0,0,NA,NA,35.08
10600000000000_65,10600000000000_65,0.15,0,98.64,0,1.36,100,29.43,1979,39777,82.5,NA,NA,NA,55.96,29.25,55.12,27.7,0,0,0,NA,NA,14.61
10600000000000_66,10600000000000_66,0.16,NA,NA,NA,NA,NA,28.15,1991,151250,41,NA,NA,NA,25.47,29.25,37.15,12.1,1,0,0,NA,NA,45.46
43700000000000_67,43700000000000_67,0.13,0,100,0,0,100,27.96,1966,167269,34.5,NA,NA,NA,35.25,52.82,27.26,4.05,0,0,0,NA,NA,7.7
43700000000000_68,43700000000000_68,0.18,0,84.72,1.13,14.15,100,26.61,1994,250000,6.5,NA,NA,NA,22,52.82,30.02,3.3,0,0,0,NA,NA,8.28
43700000000000_69,43700000000000_69,0.09,0,100,0,0,100,29.67,1962,70966,61,NA,NA,NA,57.49,52.82,27.2,13.85,0,0,0,NA,NA,12.83
43700000000000_70,43700000000000_70,0.1,0,100,0,0,100,29.42,1965,59635,53,NA,NA,NA,35.96,52.82,39.73,6.05,0,0,0,NA,NA,6.69
43700000000000_72,43700000000000_72,0.14,0,92.93,0,7.07,100,27.02,1998,250000,9.5,NA,NA,NA,22.02,52.82,21.72,1.55,0,0,0,NA,NA,13.96
43700000000000_73,43700000000000_73,0.11,0,100,0,0,100,28.55,1985,179583,28,NA,NA,NA,33.52,52.82,23.13,6.45,0,0,0,NA,NA,12.63
43700000000000_74,43700000000000_74,0.11,0,99.49,0,0.51,100,28.82,1967,112014,41,NA,NA,NA,32.48,52.82,31.89,8.1,0,0,0,NA,NA,9.13
43700000000000_75,43700000000000_75,0.1,0,99.17,0,0.83,100,28.58,1988,138864,NA,NA,NA,NA,46.54,52.82,35.93,NA,0,0,0,NA,NA,NA
43700000000000_76,43700000000000_76,0.11,0,100,0,0,100,28.84,1969,142957,38.5,NA,NA,NA,41.77,52.82,17.26,8.4,0,0,0,NA,NA,9.21
29700000000000_77,29700000000000_77,0.28,0.48,16.92,77.2,5.4,100,23.76,1985,92413,28,NA,NA,NA,NA,NA,NA,19.85,1,1,1,NA,NA,9.01
54700000000000_78,54700000000000_78,0.18,0,89.31,0,10.69,100,29.26,NA,46111,NA,NA,NA,NA,NA,NA,NA,26.6,1,0,0,NA,NA,NA
1610000000000_79,1610000000000_79,0.1,0,100,0,0,100,28.24,2005,76639,NA,NA,NA,98.5,95.62,19.56,37.23,55.45,0,0,0,NA,NA,3
4610000000000_80,4610000000000_80,0.22,0,100,0,0,100,26.2,1953,NA,NA,NA,NA,NA,46.31,19.73,49.15,27,0,0,0,NA,NA,22.56
4610000000000_81,4610000000000_81,0.17,0,100,0,0,100,28.08,2005,51714,NA,NA,NA,336,NA,NA,NA,96.05,0,0,0,NA,NA,12.05
4610000000000_82,4610000000000_82,0.16,0.57,96.39,0,3.04,100,29.17,1963,45278,NA,NA,NA,NA,NA,NA,NA,14.45,0,0,0,NA,NA,20.85
4610000000000_83,4610000000000_83,0.21,0,100,0,0,100,26.36,1936,43304,NA,NA,NA,NA,42.25,19.73,39.52,43.1,0,0,0,NA,NA,18.6
4610000000000_84,4610000000000_84,0.19,0,100,0,0,100,27.92,1973,67148,NA,NA,NA,NA,56.56,19.73,45.84,21.55,0,0,0,NA,NA,16.02
4610000000000_85,4610000000000_85,0.17,0,100,0,0,100,28.58,2019,39667,NA,NA,NA,336,NA,NA,NA,35.7,0,0,0,NA,NA,31.91
4610000000000_86,4610000000000_86,0.17,0,100,0,0,100,28.86,1965,39667,NA,NA,NA,336,NA,NA,NA,20.4,0,0,0,NA,NA,46.62
4610000000000_88,4610000000000_88,0.24,11.88,88.12,0,0,100,25.67,1953,97697,NA,NA,NA,NA,56.56,19.73,33.87,18,0,1,0,NA,NA,20.15
4610000000000_89,4610000000000_89,0.18,0,100,0,0,100,28.82,1970,84485,NA,NA,NA,NA,NA,NA,NA,34,0,0,0,NA,NA,23.89
9620000000000_90,9620000000000_90,0.22,0.32,16.96,13,69.73,100,27.79,1956,160438,NA,NA,NA,NA,29.48,18.13,24.19,18.95,1,0,0,NA,NA,18.09
9620000000000_91,9620000000000_91,0.19,0,91.51,4.12,4.36,100,26.48,1981,115075,NA,NA,NA,NA,19.68,18.13,17.09,13.25,1,0,0,NA,NA,14.07
9620000000000_92,9620000000000_92,0.19,0.32,81.36,3.24,15.07,100,27.79,1978,184936,NA,NA,NA,NA,34.49,18.13,20.54,15.05,0,0,0,NA,NA,NA
9620000000000_93,9620000000000_93,0.19,NA,NA,NA,NA,NA,26.48,1981,115075,NA,NA,NA,NA,19.68,18.13,17.09,13.25,1,0,0,NA,NA,14.07
10600000000000_94,10600000000000_94,0.13,0,100,0,0,100,31.64,2012,45347,95,NA,NA,NA,99.91,29.25,54.37,33.65,0,0,0,NA,NA,17.43
17600000000000_95,17600000000000_95,0.17,0,81.88,0.32,17.81,100,29.22,1921,50958,64.5,NA,NA,NA,69.99,20.46,35.75,27.85,0,0,0,NA,NA,13.19
17600000000000_96,17600000000000_96,0.18,0,40.06,7.29,52.64,100,28.72,1979,52250,79.5,NA,NA,NA,69.99,20.46,35.75,30.2,0,0,0,NA,NA,19.99
23700000000000_98,23700000000000_98,0.21,0.4,39.38,5.09,55.13,100,28.97,1930,49375,100,NA,NA,NA,62.7,36.2,21,14.05,1,0,0,NA,NA,NA
39700000000000_99,39700000000000_99,0.24,0,100,0,0,100,26.29,1952,171534,41.5,NA,NA,NA,37.33,49.49,63.06,13.55,0,1,0,NA,NA,8.44
1610000000000_100,1610000000000_100,0.11,0,100,0,0,100,27.86,2003,117917,NA,65.92,NA,98.5,80.37,19.56,37.46,NA,0,0,0,NA,428.5,6.5
41700000000000_101,41700000000000_101,0.15,0,100,0,0,100,27.17,1923,138869,38.5,NA,NA,NA,20.95,51.16,36.06,20.75,0,0,0,NA,NA,62.98
1610000000000_102,1610000000000_102,0.05,12.89,85.76,0,1.35,100,27.4,2003,34545,NA,NA,NA,1523.5,87.03,19.56,38.8,19.7,0,0,0,NA,NA,6
15700000000000_103,15700000000000_103,0.13,0,98.65,0,1.35,100,32.41,1998,39063,88,NA,NA,NA,59.59,27.08,49.45,18.45,1,0,0,NA,NA,13.5
15600000000000_104,15600000000000_104,0.11,0,100,0,0,100,33.15,1985,28379,NA,NA,NA,36,84.72,27.08,50.34,23.9,0,0,0,NA,725.5,NA
9620000000000_105,9620000000000_105,0.16,0,76.97,4.94,18.09,100,27.96,NA,44803,NA,NA,NA,16,45.48,18.13,33.85,17.1,0,0,0,NA,119.5,NA
9620000000000_106,9620000000000_106,0.19,0,74.26,5.6,20.14,100,27.17,1981,163333,NA,NA,NA,16,21.27,18.13,17.67,10,0,0,0,NA,NA,44.21
9620000000000_107,9620000000000_107,0.2,0,78.72,7.13,14.14,100,27.14,1981,163333,NA,NA,NA,16,21.27,18.13,17.67,10,0,0,0,NA,NA,44.21
9620000000000_108,9620000000000_108,0.23,0,42.01,30.19,27.8,100,26.39,1999,62805,NA,NA,NA,16,45.48,18.13,33.85,25.55,0,0,0,NA,NA,32.27
9620000000000_109,9620000000000_109,0.23,NA,NA,NA,NA,NA,26.39,1999,62805,NA,NA,NA,16,45.48,18.13,33.85,25.55,0,0,0,NA,NA,32.27
9620000000000_110,9620000000000_110,0.22,0,79.52,15.56,4.92,100,26.59,2002,62841,NA,NA,NA,16,49.36,18.13,34.49,NA,0,0,0,NA,NA,NA
9620000000000_111,9620000000000_111,0.23,0.32,48.73,36.17,14.79,100,25.49,1963,160438,NA,NA,NA,16,29.48,18.13,24.19,13.15,0,0,0,NA,NA,36.26
1610000000000_112,1610000000000_112,0.07,0,100,0,0,100,28.52,1970,31292,NA,NA,NA,1523.5,129.22,19.56,47.86,63.15,0,0,0,NA,NA,24.59
1610000000000_113,1610000000000_113,0.08,0,100,0,0,100,28.84,2006,57601,NA,NA,NA,1523.5,208.36,19.56,39.63,46.3,0,0,0,NA,NA,9.17
1610000000000_114,1610000000000_114,0.09,0,100,0,0,100,27.99,2006,47938,NA,NA,NA,1523.5,96.02,19.56,37.76,39.15,0,0,0,NA,NA,16
1610000000000_115,1610000000000_115,0.1,0,100,0,0,100,27.28,2005,66912,NA,NA,NA,1523.5,129.22,19.56,34.8,25.95,0,0,0,NA,NA,8.89
1610000000000_116,1610000000000_116,0.09,0,100,0,0,100,28.74,2006,58750,NA,NA,NA,1523.5,226.34,19.56,30.02,NA,0,0,0,NA,NA,NA
1610000000000_117,1610000000000_117,0.16,0,100,0,0,100,24.67,1935,250000,NA,NA,NA,NA,39.19,19.56,35.33,4.95,0,0,0,NA,NA,7.57
1610000000000_118,1610000000000_118,0.09,0,100,0,0,100,28.77,2007,46098,NA,NA,NA,1523.5,155.95,19.56,32.79,42.85,0,0,0,NA,NA,9.22
1610000000000_119,1610000000000_119,0.13,0,100,0,0,100,25.82,1950,158750,NA,NA,NA,NA,20.47,19.56,33.02,13.95,0,0,0,NA,NA,16.57
1610000000000_120,1610000000000_120,0.17,0,98.88,1.02,0.1,100,24.17,1940,208906,NA,NA,NA,NA,31.66,19.56,30.32,6.7,0,0,0,NA,NA,14.9
44700000000000_121,44700000000000_121,0.15,16.81,77.82,0,5.36,100,24.35,2004,133482,89,NA,NA,NA,56.91,53.65,44.73,35.45,0,0,0,NA,NA,14.76
6620000000000_122,6620000000000_122,0.15,0,100,0,0,100,29.67,2008,85290,NA,NA,NA,NA,NA,NA,NA,28.05,1,0,0,NA,NA,8.05
6620000000000_123,6620000000000_123,0.15,NA,NA,NA,NA,NA,29.67,2008,85290,NA,NA,NA,NA,NA,NA,NA,28.05,1,0,0,NA,NA,8.05
57700000000000_124,57700000000000_124,0.19,0,98.69,0,1.31,100,29.93,NA,97778,78,NA,NA,NA,52.82,64.45,49.08,30.7,1,0,0,NA,NA,9.91
57700000000000_125,57700000000000_125,0.19,NA,NA,NA,NA,NA,29.93,NA,97778,78,NA,NA,NA,52.82,64.45,49.08,30.7,1,0,0,NA,NA,9.91
57700000000000_126,57700000000000_126,0.19,NA,NA,NA,NA,NA,29.93,NA,97778,78,NA,NA,NA,52.82,64.45,49.08,30.7,1,0,0,NA,NA,9.91
57700000000000_127,57700000000000_127,0.19,NA,NA,NA,NA,NA,29.93,NA,97778,78,NA,NA,NA,52.82,64.45,49.08,30.7,1,0,0,NA,NA,9.91
43700000000000_128,43700000000000_128,0.08,0,100,0,0,100,29.39,NA,57049,59.5,NA,NA,NA,79.07,52.82,38.68,36.45,0,0,0,NA,NA,8.86
7620000000000_129,7620000000000_129,0.18,0,83.47,11.45,5.09,100,25.53,1960,82857,NA,NA,NA,NA,50.51,21.42,40.85,19.2,0,0,0,NA,NA,5.02
43700000000000_130,43700000000000_130,0.11,0,99.2,0,0.8,100,28.74,1975,129904,NA,NA,NA,464,32.76,52.82,25.85,16.35,0,0,0,NA,4564.5,NA
43700000000000_131,43700000000000_131,0.13,0,99.84,0,0.16,100,29.07,1962,142162,9,NA,NA,NA,16.56,52.82,21.23,4.65,0,0,0,NA,NA,9.93
43700000000000_132,43700000000000_132,0.13,0,100,0,0,100,28.83,1957,236324,33,NA,NA,NA,11.12,52.82,28.54,12.75,0,0,0,NA,NA,9.64
