Order,School_ID,NDVI_median,NDVI_Under_Over_Avg,Land_Surface_Temp
392,1610000000000_416,0.14,Below Average,29.33
393,1610000000000_417,0.14,Below Average,30.58
395,1610000000000_419,0.14,Below Average,30.45
397,6620000000000_421,0.14,Below Average,28.21
405,15600000000000_430,0.14,Below Average,31.95
408,15600000000000_433,0.14,Below Average,32.7
415,10700000000000_442,0.14,Below Average,31.08
418,10600000000000_445,0.14,Below Average,30.44
421,10600000000000_449,0.14,Below Average,30.68
425,10600000000000_453,0.14,Below Average,31.55
431,10600000000000_459,0.14,Below Average,30.49
433,10600000000000_461,0.14,Below Average,30.61
441,10600000000000_469,0.14,Below Average,31.14
442,10600000000000_470,0.14,Below Average,31.17
443,10600000000000_471,0.14,Below Average,30.24
450,10600000000000_481,0.14,Below Average,30.86
455,10600000000000_486,0.14,Below Average,31.52
459,10600000000000_490,0.14,Below Average,31.34
461,10600000000000_492,0.14,Below Average,31.08
463,10600000000000_494,0.14,Below Average,30.68
466,10600000000000_498,0.14,Below Average,31.2
468,10600000000000_500,0.14,Below Average,30.62
470,10600000000000_502,0.14,Below Average,31.11
479,39700000000000_511,0.14,Below Average,30.36
488,39700000000000_520,0.14,Below Average,29.33
489,39700000000000_521,0.14,Below Average,29.58
684,36678800000000_161,0.14,Below Average,41.41
685,19645900000000_292,0.14,Below Average,39.61
686,15636800000000_327,0.14,Below Average,46.05
687,19645010000000_668,0.14,Below Average,40.24
690,30665140000000_707,0.14,Below Average,40.78
692,36679340000000_710,0.14,Below Average,41.72
696,19649800000000_871,0.14,Below Average,33.96
697,30666500000000_882,0.14,Below Average,40.15
698,19646300000000_1343,0.14,Below Average,38.17
700,33751800000000_2123,0.14,Below Average,41.1
702,15737400000000_2140,0.14,Below Average,41.66
711,15636900000000_2456,0.14,Below Average,44.8
712,33671800000000_2477,0.14,Below Average,43.76
713,9765960000000_2479,0.14,Below Average,37.46
714,19648100000000_2522,0.14,Below Average,41.28
716,30666100000000_2641,0.14,Below Average,36.11
718,36679200000000_3244,0.14,Below Average,41.09
719,30103100000000_3506,0.14,Below Average,37.98
733,19651500000000_3633,0.14,Below Average,41.39
734,19648100000000_3817,0.14,Below Average,41.22
735,36677800000000_3862,0.14,Below Average,43.98
1591,36679300000000_493,0.14,Below Average,42.53
1592,30739200000000_1770,0.14,Below Average,38.72
1594,19647300000000_2147,0.14,Below Average,38.51
1595,19647300000000_2243,0.14,Below Average,40.52
1597,14632500000000_2325,0.14,Below Average,31.02
1598,36750400000000_2411,0.14,Below Average,40.78
1599,30666700000000_2625,0.14,Below Average,37.95
1600,19645000000000_2848,0.14,Below Average,40.92
1601,30666700000000_2904,0.14,Below Average,39.59
1602,36679300000000_3540,0.14,Below Average,42.69
4116,40800000000000_42,0.14,Below Average,30.2
4121,10600000000000_54,0.14,Below Average,28.61
4139,15600000000000_424,0.14,Below Average,31.21
35,1750000000000_36,0.15,Below Average,28.17
44,40800000000000_48,0.15,Below Average,31.03
48,10600000000000_55,0.15,Below Average,29.89
53,10600000000000_60,0.15,Below Average,29.8
58,10600000000000_65,0.15,Below Average,29.43
91,41700000000000_101,0.15,Below Average,27.17
111,44700000000000_121,0.15,Below Average,24.35
112,6620000000000_122,0.15,Below Average,29.67
131,28700000000000_141,0.15,Below Average,29.33
140,28700000000000_150,0.15,Below Average,28.58
148,43700000000000_159,0.15,Below Average,27.45
149,43700000000000_160,0.15,Below Average,27.83
151,39700000000000_162,0.15,Below Average,29.48
154,39700000000000_165,0.15,Below Average,30.74
155,39700000000000_166,0.15,Below Average,29.49
198,57700000000000_211,0.15,Below Average,29.23
208,41700000000000_221,0.15,Below Average,26.76
286,43700000000000_303,0.15,Below Average,28.33
288,10600000000000_305,0.15,Below Average,30.36
292,48700000000000_309,0.15,Below Average,29.12
295,54700000000000_315,0.15,Below Average,30.61
305,4620000000000_325,0.15,Below Average,28.08
320,10700000000000_340,0.15,Below Average,30.11
326,10700000000000_346,0.15,Below Average,29.63
327,16600000000000_347,0.15,Below Average,30.74
334,43700000000000_356,0.15,Below Average,28.61
340,7620000000000_362,0.15,Below Average,28.18
343,15600000000000_365,0.15,Below Average,32.8
364,43700000000000_386,0.15,Below Average,28.98
