Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
54,10600000000000_61,10600000000000_61,1.06212E+13,2043564949,0.16,0,100,0,0,100,28.15,1991,151250,41,NA,45.46,NA,NA,NA,25.47,29.25,37.15,12.1,NA,NA,1,0,0,NA
55,10600000000000_62,10600000000000_62,1.06212E+13,2043569121,0.16,0,100,0,0,100,28.52,1994,151250,34,NA,27.46,NA,NA,NA,25.47,29.25,37.15,11.6,NA,NA,0,0,0,NA
56,10600000000000_63,10600000000000_63,1.06212E+13,2043575379,0.14,0,94.9,0,5.1,100,27.64,2000,123393,58.5,NA,57.03,NA,NA,NA,24.94,29.25,40.27,13.45,NA,NA,1,0,0,NA
57,10600000000000_64,10600000000000_64,1.06212E+13,2043595196,0.16,0,99.92,0,0.08,100,29.8,1976,132788,50.5,NA,35.08,NA,NA,NA,46.67,29.25,33.98,16.95,NA,NA,1,0,0,NA
58,10600000000000_65,10600000000000_65,1.06212E+13,2043596239,0.15,0,98.64,0,1.36,100,29.43,1979,39777,82.5,NA,14.61,NA,NA,NA,55.96,29.25,55.12,27.7,NA,NA,0,0,0,NA
59,10600000000000_66,10600000000000_66,1.06212E+13,2043598325,0.16,NA,NA,NA,NA,NA,28.15,1991,151250,41,NA,45.46,NA,NA,NA,25.47,29.25,37.15,12.1,NA,NA,1,0,0,NA
60,43700000000000_67,43700000000000_67,4.36944E+13,2095608645,0.13,0,100,0,0,100,27.96,1966,167269,34.5,NA,7.7,NA,NA,NA,35.25,52.82,27.26,4.05,HVAC- VAV System,HVAC,0,0,0,NA
61,43700000000000_68,43700000000000_68,4.36944E+13,2095616989,0.18,0,84.72,1.13,14.15,100,26.61,1994,250000,6.5,NA,8.28,NA,NA,NA,22,52.82,30.02,3.3,HVAC- VAV System,HVAC,0,0,0,NA
62,43700000000000_69,43700000000000_69,4.36944E+13,2095618032,0.09,0,100,0,0,100,29.67,1962,70966,61,NA,12.83,NA,NA,NA,57.49,52.82,27.2,13.85,HVAC- VAV System,HVAC,0,0,0,NA
63,43700000000000_70,43700000000000_70,4.36944E+13,2095620118,0.1,0,100,0,0,100,29.42,1965,59635,53,NA,6.69,NA,NA,NA,35.96,52.82,39.73,6.05,HVAC- VAV System,HVAC,0,0,0,NA
