School_ID,Year_built
1610000000000_301,1949
45700000000000_334,1949
44700000000000_394,1949
45700000000000_409,1949
39700000000000_522,1949
33670660000000_2204,1949
19644400000000_174,1949
19644400000000_175,1949
19644400000000_176,1949
19644400000000_177,1949
19644400000000_178,1949
19644400000000_1567,1949
19753400000000_1462,1949
19648100000000_3351,1949
19734400000000_554,1949
30665200000000_1447,1949
33671200000000_3335,1949
19647300000000_2999,1949
19647300000000_2998,1949
19642900000000_3607,1949
33669900000000_1295,1949
19734600000000_3588,1949
30665300000000_964,1949
33670900000000_3473,1949
19644400000000_179,1949
54722500000000_2338,1949
56739400000000_2783,1949
19648700000000_1974,1949
19649600000000_3104,1949
56725200000000_1892,1949
54720400000000_2821,1949
56725200000000_1893,1949
19650900000000_2707,1949
19650600000000_3155,1949
19647300000000_1329,1949
33670300000000_1460,1949
19650600000000_3156,1949
19647300000000_1328,1949
19647300000000_1327,1949
30739200000000_1039,1949
33751900000000_3402,1949
33751900000000_3419,1949
33751900000000_3423,1949
54768400000000_1713,1949
30665600000000_3442,1949
41700000000000_222,1949
30665200000000_487,1949
30665100000000_1623,1949
30665600000000_1669,1949
1610000000000_119,1950
28700000000000_175,1950
39700000000000_271,1950
7620000000000_336,1950
43700000000000_358,1950
1610000000000_413,1950
1610000000000_414,1950
10600000000000_463,1950
50800000000000_513,1950
36677800000000_3500,1950
19649070000000_686,1950
19649070000000_669,1950
19648100000000_2522,1950
36676940000000_690,1950
19102000000000_3368,1950
19648700000000_1824,1950
19752910000000_712,1950
19642600000000_1299,1950
19752900000000_3685,1950
54722600000000_2309,1950
19650600000000_381,1950
19734500000000_3055,1950
16639200000000_2548,1950
19650500000000_935,1950
19650600000000_382,1950
10800000000000_144,1951
10700000000000_343,1951
10700000000000_345,1951
7620000000000_362,1951
7620000000000_364,1951
7620000000000_367,1951
7620000000000_369,1951
19646000000000_1271,1951
19648100000000_2465,1951
19734400000000_1365,1951
19642900000000_926,1951
19753400000000_1722,1951
19734400000000_3444,1951
19646300000000_3839,1951
19650600000000_769,1951
19643000000000_208,1951
19643000000000_209,1951
19643000000000_210,1951
19753300000000_2723,1951
19643800000000_3675,1951
19645300000000_236,1951
19646800000000_140,1951
19646800000000_141,1951
19646800000000_142,1951
19644900000000_1671,1951
36678200000000_404,1951
54722600000000_2078,1951
30736500000000_3824,1951
54718300000000_301,1951
19644900000000_2645,1951
54721800000000_3339,1951
36678700000000_3571,1951
19734500000000_1596,1951
19643300000000_1427,1951
19650600000000_101,1951
19643300000000_2881,1951
31800000000000_23,1952
31800000000000_32,1952
39700000000000_99,1952
11600000000000_236,1952
10600000000000_246,1952
39700000000000_279,1952
1610000000000_298,1952
10700000000000_341,1952
31800000000000_387,1952
44700000000000_395,1952
42700000000000_402,1952
10700000000000_441,1952
10600000000000_452,1952
10600000000000_460,1952
10600000000000_462,1952
10600000000000_492,1952
10600000000000_501,1952
10600000000000_503,1952
39700000000000_507,1952
39700000000000_511,1952
19644500000000_1102,1952
36679340000000_661,1952
15636900000000_1394,1952
16638750000000_651,1952
19646300000000_2068,1952
19647600000000_39,1952
19753410000000_755,1952
30665100000000_1266,1952
30666200000000_3376,1952
30666200000000_3378,1952
30665200000000_3277,1952
56724600000000_96,1952
19646300000000_217,1952
19734400000000_310,1952
19645200000000_3042,1952
30666100000000_3642,1952
19647300000000_1720,1952
19647300000000_3088,1952
19642900000000_443,1952
19642900000000_444,1952
19642900000000_445,1952
36677000000000_3708,1952
19753300000000_1930,1952
19644500000000_43,1952
36679600000000_2440,1952
16638750000000_658,1952
54722500000000_3484,1952
19645300000000_902,1952
36678400000000_1051,1952
36750700000000_3553,1952
54722600000000_1151,1952
30736500000000_3635,1952
30664600000000_2073,1952
19648700000000_2054,1952
42767900000000_3020,1952
19734500000000_3856,1952
19650900000000_1943,1952
19650600000000_2994,1952
41700000000000_223,1952
11600000000000_237,1952
10600000000000_56,1953
4610000000000_80,1953
4610000000000_88,1953
57700000000000_127,1953
24700000000000_152,1953
43700000000000_153,1953
41700000000000_217,1953
10600000000000_274,1953
15600000000000_278,1953
1610000000000_297,1953
10700000000000_340,1953
23700000000000_380,1953
10600000000000_480,1953
36677700000000_2397,1953
15636900000000_1393,1953
19734400000000_1455,1953
54722600000000_636,1953
30665200000000_837,1953
30665200000000_841,1953
19648100000000_2519,1953
19648700000000_2766,1953
30665300000000_1395,1953
19648100000000_2038,1953
30665200000000_2775,1953
19643500000000_2346,1953
19647300000000_3228,1953
19643300000000_1430,1953
19650600000000_1820,1953
36679000000000_2418,1953
19648400000000_958,1953
36678800000000_121,1953
19644900000000_2089,1953
19644900000000_2090,1953
56726000000000_3058,1953
19644500000000_3288,1953
19644900000000_2709,1953
19644900000000_2710,1953
36678800000000_3093,1953
54105500000000_3479,1953
36678430000000_691,1953
15739100000000_280,1953
15739100000000_281,1953
15739100000000_282,1953
15739100000000_283,1953
15739100000000_284,1953
56768300000000_1914,1953
19647300000000_601,1953
54767900000000_385,1953
30665600000000_900,1953
33751900000000_3397,1953
19648300000000_2788,1953
19647300000000_3807,1953
14633100000000_3051,1953
30664200000000_1215,1953
57700000000000_211,1954
41700000000000_221,1954
41700000000000_226,1954
17600000000000_257,1954
17600000000000_258,1954
17600000000000_259,1954
17600000000000_260,1954
17600000000000_261,1954
17600000000000_262,1954
17600000000000_263,1954
7620000000000_337,1954
42700000000000_398,1954
58700000000000_410,1954
10600000000000_454,1954
36676100000000_343,1954
36676100000000_344,1954
36676100000000_345,1954
36676100000000_346,1954
15636900000000_639,1954
15636900000000_638,1954
19646300000000_1321,1954
36678800000000_186,1954
19650400000000_1637,1954
19102000000000_2148,1954
19734400000000_3040,1954
30665200000000_842,1954
30665100000000_1268,1954
19648100000000_3352,1954
19646300000000_226,1954
56725400000000_829,1954
19648700000000_1777,1954
30666200000000_3360,1954
36679300000000_1352,1954
19647300000000_3022,1954
19648200000000_3765,1954
19650600000000_1320,1954
19642100000000_139,1954
19734400000000_399,1954
19734400000000_2995,1954
19642800000000_51,1954
33670900000000_789,1954
56726000000000_2503,1954
19753400000000_2778,1954
19645300000000_3290,1954
56725400000000_604,1954
33670900000000_783,1954
56725400000000_605,1954
19649070000000_655,1954
19642600000000_1010,1954
30666200000000_1617,1954
19651300000000_329,1954
19651300000000_330,1954
36678800000000_1879,1954
54722500000000_3485,1954
33103300000000_1453,1954
26102600000000_2387,1954
42691500000000_372,1954
42691500000000_374,1954
54722560000000_751,1954
42692500000000_2052,1954
19650600000000_971,1954
30665600000000_3654,1954
19649100000000_59,1954
54722000000000_3428,1954
56768300000000_2360,1954
19647300000000_2480,1954
19648800000000_3699,1954
19646600000000_1571,1954
36750700000000_2817,1954
42691500000000_373,1954
1610000000000_192,1955
15600000000000_234,1955
20700000000000_276,1955
1610000000000_295,1955
10600000000000_332,1955
7620000000000_335,1955
43700000000000_359,1955
7620000000000_363,1955
7620000000000_368,1955
7620000000000_370,1955
43700000000000_386,1955
52700000000000_407,1955
10600000000000_446,1955
10600000000000_461,1955
36679340000000_710,1955
19645920000000_659,1955
19650000000000_2354,1955
36677400000000_978,1955
30665100000000_1071,1955
33671200000000_586,1955
30665200000000_44,1955
19645200000000_130,1955
36678760000000_746,1955
19102000000000_3366,1955
19642900000000_159,1955
30665200000000_278,1955
30666100000000_3286,1955
19647300000000_83,1955
19647300000000_84,1955
19646300000000_3671,1955
19644400000000_213,1955
19647200000000_589,1955
19734400000000_930,1955
30665200000000_40,1955
30664500000000_115,1955
30664500000000_116,1955
19753300000000_152,1955
36678400000000_2916,1955
54722600000000_1196,1955
30664500000000_117,1955
30664500000000_118,1955
19644500000000_816,1955
54722600000000_1281,1955
56726000000000_1290,1955
30664500000000_119,1955
56737600000000_2506,1955
54722600000000_559,1955
54721800000000_3340,1955
36678700000000_1887,1955
19645000000000_3759,1955
19650600000000_2611,1955
30666700000000_1060,1955
19643300000000_1176,1955
36676800000000_649,1955
19650600000000_3261,1955
19650600000000_876,1955
19644900000000_1684,1955
19651100000000_1524,1955
19644900000000_1685,1955
9620000000000_90,1956
41700000000000_228,1956
1610000000000_296,1956
1610000000000_302,1956
10600000000000_322,1956
10600000000000_329,1956
10600000000000_490,1956
19645200000000_2446,1956
54722600000000_637,1956
30664600000000_295,1956
30664600000000_296,1956
36677100000000_1021,1956
33671200000000_868,1956
19650400000000_1774,1956
19650400000000_1775,1956
19648200000000_1595,1956
19649100000000_1529,1956
19649100000000_1530,1956
19649100000000_1531,1956
30665100000000_294,1956
33670900000000_1357,1956
30665200000000_3292,1956
30666200000000_3710,1956
30666200000000_2857,1956
33670900000000_1522,1956
19648400000000_106,1956
19648400000000_107,1956
19648400000000_108,1956
36679000000000_2493,1956
19648700000000_2651,1956
56737600000000_2504,1956
19734500000000_1670,1956
54719900000000_1458,1956
19649100000000_1528,1956
19647300000000_1966,1956
19647300000000_1967,1956
56768300000000_3117,1956
36676800000000_1134,1956
19648400000000_105,1956
30664600000000_297,1956
19643000000000_963,1956
36678500000000_1703,1956
10600000000000_39,1957
43700000000000_132,1957
43700000000000_133,1957
43700000000000_134,1957
10600000000000_193,1957
10600000000000_306,1957
15600000000000_431,1957
10600000000000_494,1957
56724600000000_1301,1957
19734600000000_3011,1957
19649070000000_652,1957
33670660000000_2213,1957
19645920000000_722,1957
19651100000000_775,1957
19734400000000_303,1957
19650000000000_2970,1957
19642900000000_622,1957
19648100000000_421,1957
19734400000000_3015,1957
19643500000000_1699,1957
19647300000000_2859,1957
19647300000000_2860,1957
19642500000000_2739,1957
30665200000000_489,1957
36678430000000_774,1957
30665300000000_2584,1957
19645300000000_2613,1957
19734400000000_3016,1957
19647200000000_1471,1957
19647200000000_1472,1957
19644900000000_1573,1957
36678800000000_2725,1957
30666100000000_3273,1957
54722300000000_607,1957
30666500000000_1805,1957
30666200000000_2705,1957
54722300000000_3801,1957
54719400000000_2490,1957
36678400000000_561,1957
36678400000000_562,1957
19644900000000_2091,1957
19644900000000_2092,1957
19648700000000_3229,1957
19648700000000_1798,1957
36678400000000_1555,1957
36678400000000_1556,1957
19643900000000_3327,1957
54720600000000_2825,1957
19643300000000_1169,1957
19650600000000_872,1957
19645000000000_2589,1957
19650600000000_223,1957
19643300000000_1751,1957
33751900000000_3401,1957
54768400000000_1714,1957
19644900000000_410,1957
19644900000000_411,1957
30665600000000_1356,1957
19650600000000_339,1957
10600000000000_60,1958
40700000000000_170,1958
57700000000000_210,1958
10600000000000_286,1958
24700000000000_291,1958
7620000000000_366,1958
10600000000000_456,1958
10600000000000_457,1958
10600000000000_474,1958
10600000000000_502,1958
39700000000000_518,1958
15636900000000_3702,1958
15737400000000_2093,1958
36677100000000_2494,1958
30666000000000_572,1958
19647090000000_654,1958
19646300000000_1366,1958
33671200000000_2064,1958
36677100000000_1521,1958
19644400000000_2621,1958
54755200000000_2663,1958
19648200000000_2511,1958
19648200000000_2027,1958
19648200000000_3766,1958
54722600000000_1160,1958
33670900000000_1987,1958
30665200000000_2883,1958
19649200000000_2236,1958
33670900000000_3066,1958
33670900000000_3067,1958
30666200000000_961,1958
30666200000000_962,1958
54720700000000_2252,1958
19644900000000_3152,1958
19644900000000_3153,1958
19644900000000_3154,1958
36678800000000_1537,1958
36678800000000_1538,1958
36678800000000_1539,1958
36678800000000_1540,1958
36678800000000_1541,1958
36678800000000_1542,1958
36678800000000_1543,1958
56726000000000_3241,1958
33671200000000_3302,1958
36678800000000_500,1958
36678800000000_1350,1958
19643000000000_2545,1958
54722600000000_3592,1958
54722600000000_3795,1958
56739400000000_2435,1958
54721200000000_3159,1958
56737600000000_2534,1958
19648700000000_2900,1958
30736400000000_214,1958
30666700000000_2025,1958
19734500000000_1118,1958
33670300000000_215,1958
30665600000000_884,1958
19649100000000_1145,1958
30736400000000_3098,1958
19647300000000_1756,1958
19647300000000_3499,1958
33751900000000_3400,1958
33751900000000_3405,1958
19647300000000_1656,1958
54720200000000_2640,1958
40800000000000_44,1958
40800000000000_49,1958
30665200000000_486,1958
33670900000000_2796,1958
33670900000000_2797,1958
43700000000000_156,1959
39700000000000_162,1959
1610000000000_205,1959
43700000000000_216,1959
54700000000000_243,1959
24700000000000_280,1959
43700000000000_303,1959
23700000000000_372,1959
23700000000000_373,1959
23700000000000_374,1959
23700000000000_375,1959
10600000000000_443,1959
10600000000000_453,1959
10600000000000_459,1959
10600000000000_476,1959
39700000000000_516,1959
19649070000000_714,1959
15636900000000_257,1959
15636900000000_258,1959
19112000000000_2517,1959
19757130000000_696,1959
19644510000000_781,1959
19753400000000_235,1959
19651300000000_3748,1959
19646300000000_2181,1959
19753400000000_2478,1959
19645500000000_3762,1959
19648400000000_2462,1959
36677100000000_2657,1959
19642100000000_62,1959
19642100000000_63,1959
30665200000000_253,1959
42692000000000_1408,1959
42692000000000_1411,1959
19645200000000_2079,1959
19648100000000_2361,1959
19642900000000_2661,1959
19644400000000_580,1959
19643000000000_3687,1959
19643500000000_2347,1959
30666700000000_780,1959
19647300000000_2447,1959
36678500000000_879,1959
19643300000000_1429,1959
30665600000000_3689,1959
19648700000000_64,1959
19643800000000_459,1959
42692000000000_1402,1959
42692000000000_1407,1959
33670900000000_3582,1959
36678800000000_630,1959
36678800000000_632,1959
36678800000000_633,1959
36678800000000_634,1959
19646800000000_2356,1959
19647700000000_2473,1959
36678800000000_2086,1959
19112000000000_2320,1959
36678800000000_631,1959
19642800000000_2136,1959
19647660000000_2497,1959
36750700000000_3544,1959
19753400000000_3486,1959
36678400000000_1054,1959
42692000000000_1401,1959
42692000000000_1405,1959
19648700000000_1971,1959
42692000000000_1406,1959
19642600000000_1032,1959
42692000000000_1399,1959
42692000000000_1400,1959
42692000000000_1409,1959
19644850000000_794,1959
42692000000000_1403,1959
42692000000000_1404,1959
42692000000000_1410,1959
30666500000000_1728,1959
30736500000000_3638,1959
19648700000000_563,1959
19650300000000_2057,1959
19649600000000_3103,1959
19649600000000_3105,1959
42691600000000_496,1959
19643300000000_1170,1959
19643300000000_1175,1959
56725500000000_2792,1959
19651400000000_3223,1959
19650600000000_3863,1959
19650600000000_2807,1959
33672200000000_3826,1959
16639300000000_2529,1959
30736400000000_539,1959
19651400000000_3779,1959
33751900000000_3409,1959
19647300000000_3808,1959
54719900000000_1708,1959
19650600000000_1719,1959
19643800000000_460,1959
19643800000000_461,1959
19644900000000_1187,1959
30666700000000_88,1959
19647300000000_234,1959
1610000000000_33,1960
7620000000000_129,1960
40700000000000_168,1960
1610000000000_183,1960
10700000000000_196,1960
1610000000000_201,1960
1610000000000_202,1960
