Order,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type,char_prem_id,Utility,LONGITUDE,LATITUDE,char_prem_id,CDSCode,CDSCode_2,NCES
1136,33751800000000_925,0.21,22,77.23,0,0.77,40.57,1911,41759,64,23.79,241,57.48,31.72,46.07,21.75,0,0,0,,,9367411,Southern California Edison Company,-117.340312,33.6732637,9367411,33751766071203,33751766071203,60002709493
1137,19645200000000_1005,0.21,0,99.82,0,0.18,38.92,2009,65699,84,18.33,161,63.91,34.92,60.34,55.35,0,0,0,,,42344,Southern California Edison Company,-118.0028949,34.0769905,42344,19645191938919,19645191938919,61212001367
1138,30666200000000_1014,0.21,0,99.36,0,0.64,40.61,2014,133906,10,16.9,161,41.25,22.48,48.15,12.55,0,0,0,,,7063027,Southern California Edison Company,-117.857345,33.8298754,7063027,30666216029797,30666216029797,62865004429
1139,19642900000000_1034,0.21,0,99.24,0,0.76,39.79,2007,95294,89,22.88,161,66.86,34.92,64.6,28.65,0,0,0,,,6888874,Southern California Edison Company,-117.9723554,34.0716367,6888874,19642876011423,19642876011423,60369000330
1140,19648100000000_1061,0.21,0,100,0,0,40.3,2002,87736,68,12.38,20747,46.51,34.92,58.79,29.1,0,0,0,,,766068,Southern California Edison Company,-118.1064156,34.0149091,766068,19648086020556,19648086020556,62547003796
1142,19648100000000_1095,0.21,0,98.83,0,1.17,39.03,2008,53500,68,13.97,161,47.15,34.92,63.63,19.85,0,0,0,,,1282718,Southern California Edison Company,-118.1534108,33.9639841,1282718,19648086020564,19648086020564,62547003797
1144,30666100000000_1233,0.21,3.03,96.18,0.16,0.64,34.47,2009,127973,35,12.17,271.5,27.16,22.48,34.94,12,0,0,0,,,969831,Southern California Edison Company,-118.0523647,33.7213155,969831,30666136029581,30666136029581,62814004333
1145,56725400000000_1239,0.21,0,100,0,0,35.98,2000,101056,95,19.48,645,42.04,26.69,56.6,20,0,0,0,,,10505220,Southern California Edison Company,-119.1735425,34.1751898,10505220,56725386055297,56725386055297,62922004505
1146,36677100000000_1241,0.21,0,97.19,0,2.81,39.85,1996,72813,82,29.31,36,62.8,34.44,41.67,23.2,0,0,0,,,10052230,Southern California Edison Company,-117.4538485,34.0744677,10052230,36677106113351,36677106113351,61392006402
1151,33672100000000_1264,0.21,0,79.51,0,20.49,41.42,2007,44811,91,73.36,241,31.91,31.72,32.27,31.7,0,0,0,,,9883306,Southern California Edison Company,-117.1368172,33.7376074,9883306,33672070113191,33672070113191,63021011848
1152,30665100000000_1266,0.21,0,100,0,0,40.03,1952,82266,27,9.42,20747,32.63,22.48,58.69,6.45,0,0,0,,,781822,Southern California Edison Company,-117.9338148,33.9162171,781822,30665066028062,30665066028062,61473001794
1157,54722600000000_1339,0.21,0,98.94,0,1.06,41.96,1992,86798,71,9.75,161,46.02,28.45,61.75,22.95,0,0,0,,,10185283,Southern California Edison Company,-119.3938059,36.3315005,10185283,54722566110902,54722566110902,64116001847
1158,33672000000000_1371,0.21,0,85.38,0,14.62,42.03,2018,74688,69,16.99,199,54.1,31.72,59.35,13.55,0,0,0,,,6935708,Southern California Edison Company,-117.233625,33.7980793,6935708,33671996105571,33671996105571,63018008940
1159,19648700000000_1461,0.21,0,100,0,0,38.11,2000,76110,6,16.84,112.5,49.73,34.92,56.42,30.55,0,0,0,,,9281913,Southern California Edison Company,-118.1485656,33.8926018,9281913,19648736117444,19648736117444,62985008516
1160,19648400000000_1482,0.21,0,96.77,0,3.23,39.03,2008,67404,81,10.89,645,47.46,34.92,52.34,20.2,0,0,0,,,9761052,Southern California Edison Company,-118.0650787,33.8939015,9761052,19648406020994,19648406020994,62769004158
1161,33670900000000_1523,0.21,0,95.05,0,4.95,39.04,1989,54531,48,46.4,645,40.5,31.72,38.46,28.7,0,0,0,,,2489323,Southern California Edison Company,-117.5219286,34.0021389,2489323,33670903330412,33670903330412,61926009556
1162,30664700000000_1781,0.21,0,100,0,0,37.89,1993,140893,54,5.79,27.5,27.54,22.48,42.14,5.05,0,0,0,,,1188907,Southern California Edison Company,-118.0454585,33.8447397,1188907,30664726066823,30664726066823,60807000778
1163,36678800000000_1803,0.21,0,98.56,0,1.44,40.72,1992,85625,88,13.35,1894.5,97.86,34.44,57.58,26.35,0,0,0,,,6795337,Southern California Edison Company,-117.3063586,34.0974646,6795337,36678766036974,36678766036974,63417005367
1164,19647700000000_1850,0.21,0,98.64,0,1.36,38.53,2005,25863,39,51.71,112.5,67.6,34.92,67.58,16.8,0,0,0,,,7012102,Southern California Edison Company,-118.1798286,33.9207882,7012102,19647740109538,19647740109538,62316010903
1167,19757100000000_1857,0.21,0,100,0,0,40.21,1960,74917,59,15.9,20747,33.33,34.92,57.32,12.45,0,0,0,,,10073193,Southern California Edison Company,-118.1350169,34.0768835,10073193,19757136011050,19757136011050,60015310939
1168,19752900000000_1923,0.21,0,87.55,0,9.23,40.42,1971,39620,44,17.47,15,32.15,34.92,58.99,7.35,0,0,0,,,7039181,Southern California Edison Company,-118.1014091,34.0827128,7039181,19752916022453,19752916022453,63442500572
1169,33672300000000_1953,0.21,0,49.85,0,50.15,39.78,2007,79239,71,20.18,23,40.53,31.72,33.33,18.4,0,0,0,,,9772608,Southern California Edison Company,-117.1600569,33.7243214,9772608,33672310113746,33672310113746,63339011886
1170,19648100000000_2032,0.21,0,99.35,0,0.65,40.23,2003,65875,68,13.47,929,60.59,34.92,50.87,15,0,0,0,,,187217,Southern California Edison Company,-118.0841251,34.0136334,187217,19648086020614,19648086020614,62547003802
1171,19648100000000_2036,0.21,0,100,0,0,40.03,1991,44630,68,21.01,85.5,57.34,34.92,56.36,19.5,0,0,0,,,4184,Southern California Edison Company,-118.1174947,34.0120712,4184,19648086058432,19648086058432,62547003804
1172,19648100000000_2046,0.21,0,100,0,0,40.74,2006,65739,68,22.2,1523.5,67.47,34.92,53.17,21.4,0,0,0,,,7018220,Southern California Edison Company,-118.1359034,34.0138131,7018220,19648086020622,19648086020622,62547003805
1174,19645500000000_2058,0.21,0,97.55,0.76,1.68,39.91,2000,56389,72,10.47,42,22.16,34.92,40.59,7.1,0,0,0,,,10197299,Southern California Edison Company,-118.1095018,34.0563949,10197299,19645506013585,19645506013585,61494001899
1175,33671200000000_2065,0.21,0,100,0,0,40.11,1999,72935,49,71.21,1894.5,51.87,31.72,23.38,25.4,0,0,0,,,703363,Southern California Edison Company,-117.2162129,33.9140334,703363,33671243333770,33671243333770,62580003869
1176,19646300000000_2154,0.21,0,98.8,0,1.2,37.82,2011,41602,49,16.71,161,92.39,34.92,64.66,26.45,0,0,0,,,1494241,Southern California Edison Company,-118.3638297,33.9587659,1494241,19646340120873,19646340120873,61839012504
1177,19648400000000_2164,0.21,0,99.58,0,0.42,38.33,2005,23906,81,11.7,164,56.71,34.92,52.44,14.6,0,0,0,,,1772721,Southern California Edison Company,-118.0748193,33.9034164,1772721,19648406020853,19648406020853,62769008922
1180,33672000000000_2278,0.21,0,84.56,0,15.44,41.59,1990,68611,69,25.17,645,54.1,31.72,59.35,19,0,0,0,,,6935689,Southern California Edison Company,-117.2316459,33.7836255,6935689,33671996109037,33671996109037,63018009991
1181,30664800000000_2293,0.21,0,100,0,0,38.55,2004,88182,43,30.45,199,34.09,22.48,45.37,12.25,0,0,0,,,6998422,Southern California Edison Company,-118.0315081,33.8285346,6998422,30664806027783,30664806027783,61044001173
1182,36745200000000_2294,0.21,0,96.35,0,3.65,38.84,1994,163500,0,9.11,112.5,33.04,34.44,49.43,11.5,0,0,0,,,7011909,Southern California Edison Company,-117.2608715,34.0602179,7011909,36745183690047,36745183690047,60013211117
1187,19753300000000_2469,0.21,0,100,0,0,35.09,2004,101750,3,35.97,142.5,12.41,34.92,41.84,7.45,0,0,0,,,6440022,Southern California Edison Company,-118.3932612,33.9015519,6440022,19753330116103,19753330116103,60002513480
1189,19648100000000_2519,0.21,0,96.88,0,3.12,39.77,1953,89427,68,2.38,112.5,57.34,34.92,60.18,26.1,0,0,0,,,7018039,Southern California Edison Company,-118.1217773,34.0284139,7018039,19648081995273,19648081995273,62547013492
1190,19646900000000_2557,0.21,0,100,0,0,38.45,2009,71167,90,16.01,129,75.9,34.92,51.47,29.7,0,0,0,,,8972638,Southern California Edison Company,-118.3334901,33.8973509,8972638,19646910120337,19646910120337,62121012490
1191,19648400000000_2574,0.21,0,100,0,0,40.09,1997,60595,81,35.66,161,54.01,34.92,61.38,26.8,0,0,0,,,9593507,Southern California Edison Company,-118.0570754,33.9090807,9593507,19648406020879,19648406020879,62769004169
1192,30665200000000_2599,0.21,0,100,0,0,37.05,2010,120321,66,10.36,27.5,34.33,22.48,41.57,20.55,0,0,0,,,10241722,Southern California Edison Company,-117.9194693,33.732426,10241722,30665226028674,30665226028674,61488001866
1193,19646300000000_2638,0.21,0,99.38,0,0.62,37.67,2010,51875,49,9.63,645,93.62,34.92,63.69,28.55,0,0,0,,,7014182,Southern California Edison Company,-118.3663286,33.9553832,7014182,19646346014534,19646346014534,61839002261
1194,36677100000000_2656,0.21,0,98.59,0,1.41,39.8,2010,34474,82,15.41,241,62.8,34.44,43.64,26.45,0,0,0,,,1037070,Southern California Edison Company,-117.4505228,34.0965174,1037070,36677106035844,36677106035844,61392001596
1196,19752900000000_2685,0.21,0,98,0,2,39.16,1997,64444,44,9.22,112.5,28.17,34.92,52.16,30.75,0,0,0,,,2685093,Southern California Edison Company,-118.1082258,34.097253,2685093,19752911996016,19752911996016,63442507165
1199,33672100000000_2801,0.21,0,97.78,0,2.22,40.47,2015,94594,91,61.21,220,57.29,31.72,34.26,39.65,0,0,0,,,9614854,Southern California Edison Company,-117.2215132,33.7975664,9614854,33672073335973,33672073335973,63021004712
1201,19642900000000_2826,0.21,0.2,89.25,0,10.54,39.2,2001,72083,89,16.41,1523.5,66.86,34.92,55.35,25.05,0,0,0,,,9356213,Southern California Edison Company,-117.9521301,34.1022718,9356213,19642876011480,19642876011480,60369000337
1202,19651000000000_2862,0.21,0,96.2,0,3.8,42.34,1991,114648,60,23.62,241,45.35,34.92,26.26,25.3,0,0,0,,,2534253,Southern California Edison Company,-118.217186,34.6434978,2534253,19651026023584,19651026023584,64212006892
1203,33671200000000_2874,0.21,0,100,0,0,40.46,1927,55543,49,17.38,241,73.18,31.72,28.23,28.95,0,0,0,,,6922733,Southern California Edison Company,-117.2300859,33.9204883,6922733,33671246104582,33671246104582,62580011027
1204,33671700000000_2905,0.21,0,100,0,0,43.77,2013,78785,96,24.2,13,59.03,31.72,19.75,29.75,0,0,0,,,6902655,Southern California Edison Company,-116.5464705,33.8455928,6902655,33671736059109,33671736059109,62955004564
1205,19645500000000_2932,0.21,0,98.99,0,1.01,40.03,1994,70625,72,12.21,161,41.17,34.92,72.07,12.1,0,0,0,,,7040150,Southern California Edison Company,-118.0867543,34.0527154,7040150,19645506013528,19645506013528,61494001893
1207,33672300000000_3005,0.21,0,93.71,0,6.29,40.98,2015,79239,71,24.9,53.5,38.64,31.72,38.04,22.25,0,0,0,,,6932323,Southern California Edison Company,-117.1712801,33.7452152,6932323,33672316032791,33672316032791,63339005173
1211,30665200000000_3045,0.21,0,100,0,0,37.49,1877,57222,66,11.89,336,53.02,22.48,49.77,18.35,0,0,0,,,2058482,Southern California Edison Company,-117.9320701,33.7514736,2058482,30665226028732,30665226028732,61488001876
1212,19645500000000_3106,0.21,0,99.89,0,0.11,40.7,1970,57727,72,13.57,20747,40.18,34.92,65.08,18.55,0,0,0,,,9435958,Southern California Edison Company,-118.0835992,34.0587449,9435958,19645506013536,19645506013536,61494001894
1213,30667500000000_3138,0.21,0,99.21,0,0.79,38.17,1970,57857,55,11.41,645,40.9,22.48,55.28,15.3,0,0,0,,,174783,Southern California Edison Company,-118.0069936,33.7667945,174783,30667466030860,30667466030860,64215006912
1214,36677100000000_3161,0.21,0,100,0,0,40.11,2010,57019,82,26.85,199,58.95,34.44,60.64,21.55,0,0,0,,,643555,Southern California Edison Company,-117.4761804,34.0817076,643555,36677106061865,36677106061865,61392001602
1215,36677100000000_3196,0.21,0,74.54,0,25.46,38.61,2002,59891,82,13.54,42,35.54,34.44,42.51,19.6,0,0,0,,,9417533,Southern California Edison Company,-117.452587,34.148869,9417533,36677106119986,36677106119986,61392010611
1216,54722500000000_3207,0.21,0,100,0,0,39.83,2014,43682,90,3,16,71.67,28.45,48.63,8.85,0,0,0,,,2233105,Southern California Edison Company,-119.3473379,36.2077288,2233105,54722490130708,54722490130708,63993004203
1218,54718400000000_3311,0.21,0,98.23,0,2.42,40.11,2005,66932,80,40.34,241,61.64,28.45,33.84,24.85,0,0,0,,,10077465,Southern California Edison Company,-119.0222099,36.064477,10077465,54718370109009,54718370109009,60657011526
1219,19651000000000_3329,0.21,0,80.83,0,19.17,39.65,1993,49911,60,25.93,241,60.67,34.92,28.62,27.35,0,0,0,,,2744740,Southern California Edison Company,-118.2392996,34.6828426,2744740,19651026111520,19651026111520,64212003262
1220,30665200000000_3344,0.21,0,100,0,0,37.45,2019,142750,66,8.59,27.5,35.96,22.48,35.93,14.4,0,0,0,,,7066069,Southern California Edison Company,-117.9506658,33.7407793,7066069,30665226028799,30665226028799,61488001824
1221,19648100000000_3352,0.21,0,100,0,0,39.16,1954,51064,68,23.08,1894.5,49.52,34.92,62.12,14.95,0,0,0,,,2627272,Southern California Edison Company,-118.1438117,33.9678872,2627272,19648086085682,19648086085682,62547003810
1225,33751800000000_3425,0.21,0,71.72,0,28.28,39.59,2006,52791,64,54.11,271.5,55.34,31.72,42.98,18.2,0,0,0,,,979333,Southern California Edison Company,-117.3476001,33.703709,979333,33751763330487,33751763330487,60002710280
1226,33671200000000_3465,0.21,0,92.49,0,7.51,36.72,2004,77727,49,35.68,164,73.01,31.72,42.13,21.95,0,0,0,,,9636903,Southern California Edison Company,-117.2715999,33.9285741,9636903,33671240102731,33671240102731,62580011024
1227,19642900000000_3468,0.21,0,100,0,0,39.17,1980,54042,89,21.3,161,66.86,34.92,69.37,27.75,0,0,0,,,1838446,Southern California Edison Company,-117.9844346,34.0721862,1838446,19642876011498,19642876011498,60369000340
1228,33671800000000_3505,0.21,0,90,0,10,42.78,2004,29515,81,2.94,241,75.75,31.72,34.8,84.2,0,0,0,,,9106446,Southern California Edison Company,-114.6063545,33.6178799,9106446,33671813331139,33671813331139,62964004603
1230,33671200000000_3576,0.21,0,89.28,0,10.72,39.47,2014,127596,49,78.7,199,57.15,31.72,40.42,20.9,0,0,0,,,526247,Southern California Edison Company,-117.1945215,33.9301803,526247,33671243330438,33671243330438,62580009404
1231,19734400000000_3663,0.21,0,99.86,0,0.14,41.34,2008,72250,89,12.38,241,122.52,34.92,58.32,22.2,0,0,0,,,6715512,Southern California Edison Company,-118.2384544,33.8798054,6715512,19734376061279,19734376061279,60962001000
1232,19648100000000_3677,0.21,0,96.5,0,2.17,40.08,1990,89048,68,16.66,27.5,57.34,34.92,56.36,14.35,0,0,0,,,9566431,Southern California Edison Company,-118.1100138,34.0135449,9566431,19648086020663,19648086020663,62547003812
1234,19647700000000_3760,0.21,0,100,0,0,39.08,2001,49216,39,17.57,112.5,67.6,34.92,67.58,28.3,0,0,0,,,196813,Southern California Edison Company,-118.1822737,33.9233693,196813,19647746020309,19647746020309,62316003537
1235,30664800000000_2,0.22,0,99.84,0,0.16,38.01,1965,115482,43,24.27,645,30.96,22.48,43.5,12.6,0,0,0,,,10429488,Southern California Edison Company,-118.0550631,33.8268694,10429488,30664806027767,30664806027767,61044001166
1237,30665200000000_44,0.22,0,100,0,0,37.66,1955,66711,66,17.92,1894.5,26.68,22.48,55.08,10.75,0,0,0,,,6718132,Southern California Edison Company,-117.9856699,33.7833042,6718132,30665226028237,30665226028237,61488001822
1238,36677100000000_46,0.22,0,97.14,0,2.86,40.28,1976,80396,82,27.35,578.5,37.88,34.44,34.97,26.65,0,0,0,,,9337228,Southern California Edison Company,-117.4184078,34.1189265,9337228,36677106059398,36677106059398,61392001585
1239,36677100000000_61,0.22,0,99.37,0,0.63,38.89,1976,55880,82,14.31,1894.5,35.03,34.44,40.44,29.4,0,0,0,,,9493757,Southern California Edison Company,-117.4944062,34.1050358,9493757,36677100100347,36677100100347,61392011362
1240,19642100000000_62,0.22,0,100,0,0,38.2,1959,55500,71,8.45,112.5,29.29,34.92,57.5,31.5,0,0,0,,,7030674,Southern California Edison Company,-118.0845176,33.8351412,7030674,19642126010862,19642126010862,60162000001
1242,19645200000000_130,0.22,5.06,93.55,0,1.39,38.6,1955,50439,84,50.03,199,45.69,34.92,56.06,14.75,0,0,0,,,31962,Southern California Edison Company,-118.0211247,34.0938261,31962,19645191930320,19645191930320,61212001363
1243,56724600000000_138,0.22,0.32,93.01,0,6.67,34.58,2005,112045,88,25.88,1894.5,45.96,26.69,39.78,19.95,0,0,0,,,6129821,Southern California Edison Company,-119.1834439,34.1500437,6129821,56724626055024,56724626055024,61785002201
1244,33671200000000_193,0.22,0,97.85,0,2.15,39.2,1991,123798,49,23.44,1894.5,57.15,31.72,40.42,30.65,0,0,0,,,807341,Southern California Edison Company,-117.2069561,33.9346476,807341,33671246107890,33671246107890,62580009582
1245,36677100000000_196,0.22,0,100,0,0,40.01,1965,71125,82,15.92,199,57.95,34.44,53.41,16.3,0,0,0,,,10042050,Southern California Edison Company,-117.4719266,34.0863491,10042050,36677100113944,36677100113944,61392011837
1246,19753400000000_224,0.22,0,99.28,0,0.72,34.09,1925,119797,22,12.35,112.5,16.47,34.92,49.83,9.35,0,0,0,,,9729507,Southern California Edison Company,-118.3828311,33.8513355,9729507,19753416022024,19753416022024,60003204951
1247,19646300000000_226,0.22,0,100,0,0,38.17,1954,63977,49,11.25,241,99.35,34.92,43.39,30.1,0,0,0,,,10374490,Southern California Edison Company,-118.3577639,33.9510801,10374490,19646346014559,19646346014559,61839002263
1248,30665200000000_253,0.22,0,96.57,0,3.43,37.6,1959,34545,66,35.34,271.5,25.02,22.48,44.98,10.25,0,0,0,,,1917241,Southern California Edison Company,-117.968816,33.7601465,1917241,30665223030434,30665223030434,61488001827
1249,19644700000000_336,0.22,0,98.5,0,1.5,38.41,2017,55500,72,8.79,161,51.82,34.92,61.26,23.95,0,0,0,,,6015264,Southern California Edison Company,-117.968992,34.1368391,6015264,19644690134858,19644690134858,61152014083
1250,36677100000000_351,0.22,0,99.78,0,0.22,39.28,1992,55208,82,11.33,241,47.11,34.44,45.97,26.15,0,0,0,,,5655920,Southern California Edison Company,-117.4883737,34.0410278,5655920,36677106110670,36677106110670,61392001123
1251,33671700000000_388,0.22,0,97.13,0,2.87,43.52,1987,28589,96,15.17,13,25.05,31.72,26.08,28,0,0,0,,,2230943,Southern California Edison Company,-116.4812489,33.7941037,2230943,33671736032403,33671736032403,62955004561
1252,19642900000000_403,0.22,0,100,0,0,38.39,2007,72366,89,18.1,161,57.56,34.92,60.3,31.6,0,0,0,,,9316740,Southern California Edison Company,-117.9526106,34.0832956,9316740,19642876011381,19642876011381,60369000326
1253,19734400000000_416,0.22,2.95,95.85,0,1.2,38.85,1992,59603,89,2.5,20747,55.62,34.92,65.52,99.9,0,0,0,,,9756946,Southern California Edison Company,-118.1818623,33.8935955,9756946,19734371995695,19734371995695,60962002220
1256,19648100000000_421,0.22,0,100,0,0,39.97,1957,47850,68,18.01,161,46.84,34.92,68.55,19,0,0,0,,,7064637,Southern California Edison Company,-118.154325,33.9738584,7064637,19648086020531,19648086020531,62547003793
1258,56725400000000_423,0.22,0,97.83,0,2.17,35.49,2006,35246,95,22.99,98.5,62.54,26.69,40.28,25.2,0,0,0,,,9756370,Southern California Edison Company,-119.1666384,34.2051164,9756370,56725386055321,56725386055321,62922004507
1259,36678400000000_475,0.22,0,78.13,0.16,21.71,40.66,2009,59123,67,38.81,1894.5,56.38,34.44,46.93,15.75,0,0,0,,,10197341,Southern California Edison Company,-117.1930586,34.0815536,10197341,36678430118802,36678430118802,63207012254
1260,36103600000000_542,0.22,0,100,0,0,40.86,2004,47500,86,42.73,125.5,100.17,34.44,54.1,64.05,0,0,0,,,10231467,Southern California Edison Company,-117.2928468,34.1135462,10231467,36103630107466,36103630107466,69102911088
1261,19651000000000_575,0.22,0,86.36,0,13.64,40.09,1976,76029,60,15.18,241,51.51,34.92,28.64,20.8,0,0,0,,,838009,Southern California Edison Company,-118.1808798,34.5929263,838009,19651026109664,19651026109664,64212010141
1263,36677100000000_617,0.22,0,99.65,0,0.35,39.83,1997,66833,82,16.51,16,62.8,34.44,42.74,30.6,0,0,0,,,7116031,Southern California Edison Company,-117.4479303,34.0900872,7116031,36677106114052,36677106114052,61392007265
1264,33103300000000_672,0.22,0,97.12,0,2.88,39.09,1893,86786,65,280.47,1894.5,73.18,31.72,32.21,49.2,0,0,0,,,4842861,Southern California Edison Company,-117.2499749,33.924658,4842861,3.31033e+13,3.31033e+13,62580003869
1266,19647740000000_688,0.22,0,100,0,0,38.92,1938,30820,0,20.15,20747,63.03,34.92,62.87,26.85,0,0,0,,,6702336,Southern California Edison Company,-118.2146176,33.9192578,6702336,1.964774e+13,1.964774e+13,62316003534
1269,36677100000000_809,0.22,0,97.14,0,2.86,38.59,2004,55117,82,14.48,929,38.68,34.44,44.51,23.4,0,0,0,,,9626637,Southern California Edison Company,-117.4626359,34.1255875,9626637,36677100102517,36677100102517,61392011097
1270,19644500000000_818,0.22,0,100,0,0,39.55,1901,71106,75,92.59,161,52.31,34.92,51.51,19.55,0,0,0,,,1906190,Southern California Edison Company,-118.1247032,33.9391819,1906190,19644511932441,19644511932441,61146001264
1272,56725400000000_829,0.22,0,98.33,0,1.67,35.64,1954,63764,95,31.54,653.5,41.32,26.69,42.2,25.2,0,0,0,,,6369492,Southern California Edison Company,-119.1845741,34.1873466,6369492,56725386055305,56725386055305,62922007922
1274,33751800000000_853,0.22,0,59.98,0,40.02,39.84,2007,81111,64,24.49,27.5,34.99,31.72,45.65,27.9,0,0,0,,,9859569,Southern California Edison Company,-117.3171605,33.6966319,9859569,33751760113100,33751760113100,60002712001
1277,30665200000000_955,0.22,0,100,0,0,37.74,2000,79214,66,17.78,161,30.51,22.48,57.62,21.4,0,0,0,,,6718131,Southern California Edison Company,-117.9867451,33.7798039,6718131,30665226028344,30665226028344,61488001857
1278,19643000000000_957,0.22,0,100,0,0,39.33,2010,82885,90,11.5,36,61.64,34.92,37.91,21.6,0,0,0,,,6732936,Southern California Edison Company,-118.1162683,33.8999738,6732936,19643036011621,19643036011621,60444000403
1279,33671200000000_970,0.22,0,49.8,0,50.2,39.43,2006,96036,49,14.27,504.5,34.87,31.72,29.7,18.8,0,0,0,,,9940525,Southern California Edison Company,-117.1973116,33.6773761,9940525,33671160110601,33671160110601,62454011716
1281,19648700000000_1046,0.22,0,100,0,0,39.22,1996,60750,6,21.7,20747,52.77,34.92,68.53,23.55,0,0,0,,,6378518,Southern California Edison Company,-118.1779548,33.8907341,6378518,19648736114615,19648736114615,62985007134
1283,19642100000000_1072,0.22,0,100,0,0,38.17,1993,54141,71,10.13,199,53.8,34.92,58.15,21.7,0,0,0,,,1159023,Southern California Edison Company,-118.0768314,33.8268036,1159023,19642126010979,19642126010979,60162000013
1284,30664700000000_1104,0.22,0,98.25,0,1.75,37.61,2000,73698,54,13.76,241,37.46,22.48,39.65,11.5,0,0,0,,,509483,Southern California Edison Company,-118.0339209,33.8484156,509483,30664726027692,30664726027692,60807000779
1285,30666100000000_1149,0.22,0,99.92,0,0.08,35.08,1962,154464,35,14.9,112.5,40.91,22.48,42.7,22.65,0,0,0,,,1762874,Southern California Edison Company,-118.0122045,33.7122861,1762874,30666136071104,30666136071104,62814004332
1287,19651000000000_1208,0.22,0,92.6,0,7.4,40.95,2012,48636,60,36.39,220,48.08,34.92,21.71,13.1,0,0,0,,,10272453,Southern California Edison Company,-118.224519,34.623794,10272453,19651020125690,19651020125690,64212013142
1290,30666100000000_1310,0.22,0,97,0,3,35.14,1972,122733,35,12.7,112.5,33.38,22.48,36.79,12.2,0,0,0,,,6612502,Southern California Edison Company,-118.0190901,33.7136077,6612502,30666136029607,30666136029607,62814004335
1291,19646300000000_1366,0.22,0,99.72,0,0.28,37.88,1958,41602,49,5,615,99.47,34.92,41.06,92.15,0,0,0,,,6566975,Southern California Edison Company,-118.3631114,33.9578407,6566975,19646341934249,19646341934249,61839003213
1294,42692000000000_1408,0.22,36.84,63.16,0,0,32.82,1959,21552,36,19.27,13,24.54,24.3,16.2,12.7,0,0,0,,,6763762,Southern California Edison Company,-119.8549784,34.4113325,6763762,42691956045470,42691956045470,61551001972
1296,33670800000000_1443,0.22,0,97.83,0,2.17,41.66,2001,39102,92,13.48,38.5,96.14,31.72,43.5,50.25,0,0,0,,,9637120,Southern California Edison Company,-116.9617861,33.7532185,9637120,33670826118731,33670826118731,61692010349
1297,30665200000000_1447,0.22,0,100,0,0,37.51,1949,68011,66,19.87,42,41.25,22.48,47.91,10.65,0,0,0,,,6285116,Southern California Edison Company,-117.9445451,33.751917,6285116,30665226028476,30665226028476,61488001852
1298,19752900000000_1464,0.22,0,99.37,0,0.63,40.39,1983,86583,44,27.35,112.5,40.13,34.92,65.35,8.6,0,0,0,,,4522309,Southern California Edison Company,-118.0789807,34.1015052,4522309,19752916022438,19752916022438,63442500557
1299,33103300000000_1506,0.22,0,96.34,0,3.66,40.33,2009,76028,65,12.25,1894.5,51.87,31.72,23.38,8.95,0,0,0,,,4681948,Southern California Edison Company,-117.2168101,33.9186099,4681948,33103300138024,33103300138024,69102614358
1300,36678800000000_1511,0.22,0,100,0,0,40.48,2006,63333,88,10.22,1894.5,100.17,34.44,54.1,42.15,0,0,0,,,9907061,Southern California Edison Company,-117.29737,34.1121205,9907061,36678760110783,36678760110783,63417011741
1301,30664800000000_1520,0.22,0,100,0,0,38.11,1980,116875,43,18.85,1894.5,28.58,22.48,36.89,9.5,0,0,0,,,6975802,Southern California Edison Company,-118.033818,33.8182238,6975802,30664806027841,30664806027841,61044009129
1302,19642900000000_1544,0.22,0,100,0,0,39.29,1964,75515,89,15.4,199,66.86,34.92,60.6,28.55,0,0,0,,,6888919,Southern California Edison Company,-117.9748034,34.0818755,6888919,19642876011449,19642876011449,60369000332
1303,19644400000000_1667,0.22,0,100,0,0,38.67,1990,78902,70,19.75,55,52.36,34.92,40.4,16.05,0,0,0,,,4833760,Southern California Edison Company,-117.9179433,34.0906055,4833760,19644366012538,19644366012538,61005001098
1304,19647700000000_1729,0.22,0,100,0,0,38.92,1993,30820,39,23.26,161,63.03,34.92,62.87,39,0,0,0,,,6702337,Southern California Edison Company,-118.2135991,33.9189396,6702337,19647746020259,19647746020259,62316003534
1305,19650400000000_1774,0.22,0,98.73,0,1.27,38.09,1956,72917,88,16.46,42,47.73,34.92,49.37,32.75,0,0,0,,,7032109,Southern California Edison Company,-118.0321485,33.920005,7032109,19650376022842,19650376022842,63756006360
1307,19648700000000_1777,0.22,0,100,0,0,38.48,1954,60987,6,20.96,20747,61.83,34.92,69.82,38.2,0,0,0,,,6701076,Southern California Edison Company,-118.1749384,33.900707,6701076,19648736021448,19648736021448,62985004651
1308,33751800000000_1812,0.22,0,97.17,0,2.83,41.86,2003,66503,64,27.85,16,57.91,31.72,21.04,39.5,0,0,0,,,6381626,Southern California Edison Company,-117.3772432,33.6839564,6381626,33751766032056,33751766032056,60002709491
1309,36677100000000_1834,0.22,0,92.87,0,7.13,39.95,1992,82885,82,15.5,85.5,37.96,34.44,49.26,32.9,0,0,0,,,6779728,Southern California Edison Company,-117.4327647,34.1186058,6779728,36677106110688,36677106110688,61392001124
