Order,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type,char_prem_id,Utility,LONGITUDE,LATITUDE,char_prem_id,CDSCode,CDSCode_2,NCES
49,10600000000000_56,0.12,0,100,0,0,29.91,1953,45774,83.5,15.63,13,50.56,29.25,50.33,34.4,1,0,0,,,2043526358,Pacfic Gas and Electric Company,-119.7036,36.81506,2043526358,10621176005904,10621176005904,60903000916
50,10600000000000_57,0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,47.09,13,43.29,29.25,36.63,22.45,1,0,0,,,2043532616,Pacfic Gas and Electric Company,-119.6815,36.81738,2043532616,10621171031053,10621171031053,60903000904
51,10600000000000_58,0.12,0,100,0,0,29.9,1969,50438,63.5,21.83,464,103.13,29.25,49.65,19.5,1,0,0,,,2043536788,Pacfic Gas and Electric Company,-119.6985,36.82377,2043536788,10621176066617,10621176066617,60903000903
53,10600000000000_60,0.15,2.66,96.71,0,0.62,29.8,1958,74545,68.5,16.45,241,103.13,29.25,47.83,24.65,0,0,0,,,2043547218,Pacfic Gas and Electric Company,-119.7224,36.82587,2043547218,10621176005847,10621176005847,60903000907
54,10600000000000_61,0.16,0,100,0,0,28.15,1991,151250,41,45.46,267,25.47,29.25,37.15,12.1,1,0,0,,,2043564949,Pacfic Gas and Electric Company,-119.7137,36.85635,2043564949,10621171030501,10621171030501,60903000367
55,10600000000000_62,0.16,0,100,0,0,28.52,1994,151250,34,27.46,1894.5,25.47,29.25,37.15,11.6,0,0,0,,,2043569121,Pacfic Gas and Electric Company,-119.7196,36.85263,2043569121,10621176110258,10621176110258,60903001982
56,10600000000000_63,0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,57.03,241,24.94,29.25,40.27,13.45,1,0,0,,,2043575379,Pacfic Gas and Electric Company,-119.646,36.8009,2043575379,10621171030683,10621171030683,60903007959
57,10600000000000_64,0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,35.08,13,46.67,29.25,33.98,16.95,1,0,0,,,2043595196,Pacfic Gas and Electric Company,-119.7646,36.8608,2043595196,10621171030196,10621171030196,60903000906
58,10600000000000_65,0.15,0,98.64,0,1.36,29.43,1979,39777,82.5,14.61,27.5,55.96,29.25,55.12,27.7,0,0,0,,,2043596239,Pacfic Gas and Electric Company,-119.687,36.79073,2043596239,10621176097026,10621176097026,60903000914
60,43700000000000_67,0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,55,35.25,52.82,27.26,4.05,0,0,0,HVAC- VAV System,HVAC,2095608645,Pacfic Gas and Electric Company,-121.7881,37.30696,2095608645,43694356047120,43694356047120,6.13e+10
61,43700000000000_68,0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,20747,22,52.82,30.02,3.3,0,0,0,HVAC- VAV System,HVAC,2095616989,Pacfic Gas and Electric Company,-121.7655,37.28378,2095616989,43694356111942,43694356111942,6.13e+10
62,43700000000000_69,0.09,0,100,0,0,29.67,1962,70966,61,12.83,1894.5,57.49,52.82,27.2,13.85,0,0,0,HVAC- VAV System,HVAC,2095618032,Pacfic Gas and Electric Company,-121.8217,37.3269,2095618032,43694356047153,43694356047153,6.13e+10
63,43700000000000_70,0.1,0,100,0,0,29.42,1965,59635,53,6.69,23,35.96,52.82,39.73,6.05,0,0,0,HVAC- VAV System,HVAC,2095620118,Pacfic Gas and Electric Company,-121.8245,37.31592,2095620118,43694356047161,43694356047161,6.13e+10
64,43700000000000_72,0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,645,22.02,52.82,21.72,1.55,0,0,0,HVAC- VAV System,HVAC,2095624290,Pacfic Gas and Electric Company,-121.7669,37.31198,2095624290,43694356115851,43694356115851,61314007788
65,43700000000000_73,0.11,0,100,0,0,28.55,1985,179583,28,12.63,36,33.52,52.82,23.13,6.45,0,0,0,HVAC- VAV System,HVAC,2095625333,Pacfic Gas and Electric Company,-121.7878,37.31948,2095625333,43694356105787,43694356105787,61314008836
66,43700000000000_74,0.11,0,99.49,0,0.51,28.82,1967,112014,41,9.13,278.5,32.48,52.82,31.89,8.1,0,0,0,HVAC- VAV System,HVAC,2095626376,Pacfic Gas and Electric Company,-121.7995,37.31863,2095626376,43694356047146,43694356047146,6.13e+10
67,43700000000000_75,0.1,0,99.17,0,0.83,28.58,1988,138864,65,9.21,23,46.54,52.82,35.93,5.1,0,0,0,HVAC- VAV System,HVAC,2095629505,Pacfic Gas and Electric Company,-121.8093,37.29958,2095629505,43694356107593,43694356107593,61314009366
68,43700000000000_76,0.11,0,100,0,0,28.84,1969,142957,38.5,9.21,241,41.77,52.82,17.26,8.4,0,0,0,HVAC- VAV System,HVAC,2095630548,Pacfic Gas and Electric Company,-121.7935,37.33275,2095630548,43694356067193,43694356067193,6.13e+10
