,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,income,School_Type
104,48700000000000_308,0.14,0,99.44,0,0.56,29.38,1982,128914,25,15.82,0.57,14.5,77.03,57.8,22.55,31.65,0,0,0,high income,Control School
105,43700000000000_324,0.13,0,99.92,0,0.08,26.82,2004,238472,14,7.89,0.63,14.5,26.77,52.82,14.16,3.9,0,0,0,high income,Control School
106,43700000000000_328,0.13,0,100,0,0,29.92,1965,234643,21,10.2,0.63,164,18.38,52.82,38.76,11.5,0,0,0,high income,Control School
107,10700000000000_340,0.15,0,98.98,0,1.02,30.11,1953,119750,47.5,19.51,0.63,1894.5,76.94,29.25,63.26,18.3,0,0,0,high income,Control School
108,43700000000000_349,0.12,0.97,98.3,0,0.73,29.45,1992,154583,19,72.33,0.63,42.5,26.65,52.82,24.99,18.3,0,0,0,high income,Control School
109,43700000000000_350,0.11,0,100,0,0,29.01,2005,237083,44.5,49.84,0.63,336,9.86,52.82,42.23,3.9,0,0,0,high income,Control School
110,43700000000000_354,0.12,0,100,0,0,29.42,1998,250000,7.5,12.28,0.63,241,10.1,52.82,36.13,3.3,0,0,0,high income,Control School
111,43700000000000_358,0.13,0,100,0,0,28.97,1950,250000,7,12.39,0.61,42,9.84,52.82,41.31,3,0,0,0,high income,Control School
112,43700000000000_359,0.14,0,100,0,0,28.89,1955,220216,11.5,26.32,0.61,278.5,12.22,52.82,30.41,3.55,0,0,0,high income,Control School
113,7620000000000_361,0.16,0,99.52,0,0.48,27.24,1979,159896,14,20.41,0.57,1894.5,24.66,21.42,45.58,8.5,0,0,0,high income,Control School
114,7620000000000_362,0.15,0,100,0,0,28.18,1951,163661,0,11.78,0.58,504.5,24.66,21.42,45.58,6.5,0,0,0,high income,Control School
115,7620000000000_363,0.18,0,98.24,1.28,0.48,26.27,1955,144091,62,10.9,0.56,241,29.58,21.42,35.25,9.5,0,0,0,high income,Control School
116,7620000000000_368,0.22,1.67,69.94,16.51,11.88,25.85,1955,155994,19,26.17,0.47,220,10.12,21.42,22.49,6.4,1,0,0,high income,Prop. 39 School
117,7620000000000_370,0.22,0.49,68.53,0,32.19,25.85,1955,155994,6,26.17,0.47,241,10.12,21.42,22.49,6.4,1,0,0,high income,Prop. 39 School
118,7620000000000_371,0.19,0,52.38,16.43,31.19,25.96,1994,115822,35,6.65,0.43,241,46.23,21.42,31.22,9.8,0,0,0,high income,Control School
119,43700000000000_386,0.15,0,89.03,0,10.97,28.98,1955,152500,56.5,14.83,0.63,13,36.24,52.82,37.77,23.95,0,0,0,high income,Control School
120,44700000000000_396,0.23,0,38.35,56.01,5.65,19.21,1969,136709,39,36.19,0.47,241,25.31,53.65,27.52,19.65,0,0,0,high income,Control School
121,1610000000000_411,0.12,0,100,0,0,30.79,1960,186429,40,21.68,0.56,1523.5,31.1,19.56,27.11,15.2,1,0,0,high income,Prop. 39 School
122,1610000000000_412,0.1,0,100,0,0,30.73,1929,154671,10,48.71,0.47,85.5,28.61,19.56,40.84,12.8,1,0,0,high income,Prop. 39 School
123,1610000000000_415,0.1,0,99.84,0,0.16,30.36,1936,123750,74,7.04,0.46,1894.5,28.8,19.56,42.11,80.35,1,0,0,high income,Prop. 39 School
124,1610000000000_416,0.14,0,95.21,0,4.79,29.33,1963,153494,10,16.22,0.47,83,28.61,19.56,40.84,18,1,0,0,high income,Prop. 39 School
125,1610000000000_417,0.14,8.98,65.82,0,25.2,30.58,1992,155938,22,20.37,0.46,271.5,30.08,19.56,36.19,11.95,1,0,0,high income,Prop. 39 School
126,1610000000000_418,0.12,0,98.08,0,1.92,30.39,1962,131724,10,55.78,0.46,241,31.1,19.56,27.11,4.3,1,0,0,high income,Prop. 39 School
127,1610000000000_420,0.13,2.3,92.62,0,5.08,29.8,1990,133598,10,22.94,0.43,929,30.08,19.56,36.19,20.05,1,0,0,high income,Prop. 39 School
128,15600000000000_430,0.14,0,100,0,0,31.95,1991,118304,31.5,59.63,0.56,220,43.63,27.08,34.23,12.2,0,0,0,high income,Control School
129,10600000000000_446,0.18,0,100,0,0,29.36,1955,117286,59.5,56.62,0.57,241,70.83,29.25,44.6,28.95,0,0,0,high income,Control School
130,39700000000000_507,0.19,0,100,0,0,29.01,1950,120689,70,8.29,0.61,1894.5,36.55,49.49,66.82,18.2,0,0,0,high income,Control School
131,39700000000000_512,0.26,0,100,0,0,25.48,1953,137969,28,15.02,0.63,271.5,38.23,49.49,57.4,9.15,0,1,0,high income,Control School
132,39700000000000_517,0.15,8.51,87.44,0,4.05,29.1,1934,120781,78,10.11,0.61,13,36.88,49.49,34,26.2,0,0,0,high income,Control School
133,19753300000000_2681,0.11,4.92,93.06,0,2.02,33.19,1997,211513,3,12,0.63,241,12.51,34.92,28.28,6.5,0,0,0,high income,Control School
134,30739240000000_656,0.13,0,98.89,0,1.11,38.46,2010,153000,0,65.33,0.63,161,21.72,22.48,64.47,7.65,0,0,0,high income,Control School
135,19646000000000_1271,0.13,1.21,97.1,0,1.69,34.15,1966,150444,7,13.97,0.63,53.5,12.77,34.92,41.45,6.3,0,0,0,high income,Control School
136,19734600000000_3011,0.13,0,98.49,0,0.72,40.4,2006,130694,21,15.43,0.56,20747,26.46,34.92,53.8,52,0,0,0,high income,Control School
137,30103100000000_3509,0.14,0,100,0,0,37.98,2017,147277,83,2.3,0.61,929,28.96,22.48,51.5,40.1,0,0,0,high income,Control School
138,30665480000000_730,0.15,0,99.92,0,0.08,37.73,1901,136061,0,19.63,0.57,20747,32.83,22.48,60.31,13.1,0,0,0,high income,Control School
139,19753300000000_1188,0.15,2.7,95.27,0.76,1.27,33.7,1979,250000,3,25.75,0.63,1894.5,13.27,34.92,42.12,5.75,0,0,0,high income,Control School
140,30666000000000_1311,0.17,17.87,82.05,0,0.08,29.1,1958,145455,23,20.05,0.56,112.5,21.76,22.48,56.88,16.55,0,0,0,high income,Control School
