"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"67",366,"43700000000000_388",0.1,0,100,0,0,28.93,2018,99844,10,36.37,164,58.38,52.82,30.17,10.8,0,0,0,"HVAC- VAV System","HVAC",4.36943e+13,"9345638428","43694270107151"
"68",383,"52700000000000_407",0.21,0,100,0,0,27.11,1955,43315,77.5,23.7,241,83.49,60.29,42.46,44.65,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.27162e+13,"9439395723","52716216053631"
"69",384,"52700000000000_408",0.14,0,68.07,0,31.93,29.73,1987,35737,81.5,23.11,1894.5,83.49,60.29,42.46,35.75,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.27162e+13,"9439401981","52716216106686"
"70",472,"39700000000000_504",0.13,0,100,0,0,29.2,2012,25685,61.5,6.41,653.5,94.42,27.08,44.35,39.9,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"9825317316","39686760119743"
"71",474,"39700000000000_506",0.24,0,100,0,0,27.46,1952,55833,65.5,10.58,13,41.08,49.49,38.64,11.85,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96858e+13,"9907440347","39685776041966"
"72",475,"39700000000000_507",0.19,0,100,0,0,29.01,1929,120689,70,8.29,20747,36.55,49.49,66.82,18.2,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96849e+13,"9908569290","39684866041750"
"73",476,"39700000000000_508",0.25,0,100,0,0,26.96,1952,75750,54.5,9.69,125.5,50.58,49.49,54.71,8.2,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96858e+13,"9915166264","39685776042006"
"74",479,"39700000000000_511",0.14,0,100,0,0,30.36,1957,73953,41,17.13,271.5,38.23,49.49,57.4,5.75,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96865e+13,"9960173744","39686506042477"
"75",480,"39700000000000_512",0.26,0,100,0,0,25.48,2010,137969,28,15.02,271.5,38.23,49.49,57.4,9.15,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96865e+13,"9960187303","39686506109284"
"76",482,"39700000000000_514",0.17,0,98.9,0,1.1,29.92,2010,98333,66,10.95,241,36.89,49.49,29.86,2.9,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981030022","39685850122879"
