"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"44",44,"40800000000000_48",0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,278.5,46.01,50.32,41.76,37.65,0,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887288884","40754576043137"
"45",45,"40700000000000_50",0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,13.73,164,44.99,50.32,34.66,18.7,0,0,0,NA,NA,4.06876e+13,"1897582476","40687596109342"
"46",46,"15600000000000_51",0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56358e+13,"2022739961","15635786009989"
"47",47,"10600000000000_53",0.14,0,100,0,0,29.83,1996,91695,40,12.81,1894.5,37.05,29.25,35.98,18.8,0,0,0,NA,NA,1.06212e+13,"2043514885","10621176113583"
"48",48,"10600000000000_55",0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,1523.5,56.04,29.25,59.95,26.1,1,0,0,NA,NA,1.06212e+13,"2043520100","10621176005920"
"49",49,"10600000000000_56",0.12,0,100,0,0,29.91,1953,45774,83.5,15.63,13,50.56,29.25,50.33,34.4,1,0,0,NA,NA,1.06212e+13,"2043526358","10621176005904"
"50",50,"10600000000000_57",0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,47.09,205,43.29,29.25,36.63,22.45,1,0,0,NA,NA,1.06212e+13,"2043532616","10621171031053"
"51",51,"10600000000000_58",0.12,0,100,0,0,29.9,1969,50438,63.5,21.83,32.5,103.13,29.25,49.65,19.5,1,0,0,NA,NA,1.06212e+13,"2043536788","10621176066617"
"52",52,"10600000000000_59",0.13,0,100,0,0,30.26,1969,50438,63.5,21.83,205,50.56,29.25,50.33,19.5,1,0,0,NA,NA,1.06212e+13,"2043537831","10621176066617"
"53",53,"10600000000000_60",0.15,2.66,96.71,0,0.62,29.8,1958,74545,68.5,16.45,241,103.13,29.25,47.83,24.65,0,0,0,NA,NA,1.06212e+13,"2043547218","10621176005847"
"54",54,"10600000000000_61",0.16,0,100,0,0,28.15,1991,151250,41,45.46,1523.5,25.47,29.25,37.15,12.1,1,0,0,NA,NA,1.06212e+13,"2043564949","10621171030501"
"55",55,"10600000000000_62",0.16,0,100,0,0,28.52,1994,151250,34,27.46,112.5,25.47,29.25,37.15,11.6,0,0,0,NA,NA,1.06212e+13,"2043569121","10621176110258"
"56",56,"10600000000000_63",0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,57.03,13,24.94,29.25,40.27,13.45,1,0,0,NA,NA,1.06212e+13,"2043575379","10621171030683"
"57",57,"10600000000000_64",0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,35.08,205,46.67,29.25,33.98,16.95,1,0,0,NA,NA,1.06212e+13,"2043595196","10621171030196"
"58",58,"10600000000000_65",0.15,0,98.64,0,1.36,29.43,1979,39777,82.5,14.61,645,55.96,29.25,55.12,27.7,0,0,0,NA,NA,1.06212e+13,"2043596239","10621176097026"
"59",59,"10600000000000_66",0.16,0.32,96.65,0,23.38,28.15,1991,151250,41,45.46,464,25.47,29.25,37.15,12.1,1,0,0,NA,NA,1.06212e+13,"2043598325","10621171030501"
"60",60,"43700000000000_67",0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,241,35.25,52.82,27.26,4.05,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095608645","43694356047120"
"61",61,"43700000000000_68",0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,85.5,22,52.82,30.02,3.3,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095616989","43694356111942"
"62",62,"43700000000000_69",0.09,0,100,0,0,29.67,1962,70966,61,12.83,13,57.49,52.82,27.2,13.85,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095618032","43694356047153"
"63",63,"43700000000000_70",0.1,0,100,0,0,29.42,1965,59635,53,6.69,55,35.96,52.82,39.73,6.05,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095620118","43694356047161"
"64",64,"43700000000000_72",0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,241,22.02,52.82,21.72,1.55,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095624290","43694356115851"
"65",65,"43700000000000_73",0.11,0,100,0,0,28.55,1985,179583,28,12.63,42.5,33.52,52.82,23.13,6.45,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095625333","43694356105787"
"66",66,"43700000000000_74",0.11,0,99.49,0,0.51,28.82,1967,112014,41,9.13,1894.5,32.48,52.82,31.89,8.1,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095626376","43694356047146"
"67",67,"43700000000000_75",0.1,0,99.17,0,0.83,28.58,1988,138864,45,7.88,145,46.54,52.82,35.93,17.45,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095629505","43694356107593"
"68",68,"43700000000000_76",0.11,0,100,0,0,28.84,1969,142957,38.5,9.21,241,41.77,52.82,17.26,8.4,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095630548","43694356067193"
"69",69,"29700000000000_77",0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,9.01,14.5,61.64,19.56,30.17,19.85,1,1,1,"Lighting- Interior Fixture Retrofit","Lighting",2.96637e+13,"2158181651","29663736105811"
"70",70,"54700000000000_78",0.18,0,89.31,0,10.69,29.26,1998,46111,80,221.59,27.5,35.83,19.56,56.88,26.6,1,0,0,"Lighting Controls","Lighting",5.472009e+13,"2293579535","5.472009e+13"
"71",71,"1610000000000_79",0.1,0,100,0,0,28.24,2005,76639,97,3,98.5,95.62,19.56,37.23,55.45,0,0,0,NA,NA,1.61309e+12,"2319663954","1613090111799"
"72",72,"4610000000000_80",0.22,0,100,0,0,26.2,1953,99572,59,22.56,161,46.31,19.73,49.15,27,0,0,0,NA,NA,4.61425e+12,"2408217097","4614246057137"
"73",73,"4610000000000_81",0.17,0,100,0,0,28.08,2005,51714,85,12.05,336,128.01,29.25,54.75,96.05,0,0,0,NA,NA,4.61424e+12,"2408230656","4614240431502"
"74",74,"4610000000000_82",0.16,0.57,96.39,0,3.04,29.17,1963,45278,71,20.85,241,83.83,29.25,50.54,14.45,0,0,0,NA,NA,4.61425e+12,"2418406389","4614246003099"
"75",75,"4610000000000_83",0.21,0,100,0,0,26.36,1936,43304,70,18.6,53.5,42.25,19.73,39.52,43.1,0,0,0,NA,NA,4.61425e+12,"2418409518","4614246002976"
"76",76,"4610000000000_84",0.19,0,100,0,0,27.92,1973,67148,50,16.02,85.5,56.56,19.73,45.84,21.55,0,0,0,NA,NA,4.61425e+12,"2418410561","4614246003008"
"77",77,"4610000000000_85",0.17,0,100,0,0,28.58,2019,39667,77,31.91,336,64.26,42.51,49.66,35.7,0,0,0,NA,NA,4.61424e+12,"2418428292","4614240430215"
"78",78,"4610000000000_86",0.17,0,100,0,0,28.86,1965,39667,39,46.62,336,64.92,42.51,40.7,20.4,0,0,0,NA,NA,4.61424e+12,"2418429335","4614240437558"
"79",79,"4610000000000_88",0.24,11.88,88.12,0,0,25.67,1953,97697,25,20.15,13,56.56,19.73,33.87,18,0,1,0,NA,NA,4.61425e+12,"2418436636","4614246003073"
"80",80,"4610000000000_89",0.18,0,100,0,0,28.82,1970,84485,89.5,23.89,205,45.07,34.92,63.42,34,0,0,0,NA,NA,4.61425e+12,"2418438722","4614246003024"
"81",81,"9620000000000_90",0.22,0.32,16.96,13,69.73,27.79,1956,160438,5,18.09,205,29.48,18.13,24.19,18.95,1,0,0,NA,NA,9.61979e+12,"2429025397","9619786005714"
"82",82,"9620000000000_91",0.19,0,91.51,4.12,4.36,26.48,1981,115075,40,14.07,205,19.68,18.13,17.09,13.25,1,0,0,NA,NA,9.61979e+12,"2429028526","9619786103527"
"83",83,"9620000000000_92",0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,22,18.21,241,34.49,18.13,20.54,15.05,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",9.61978e+12,"2429030612","9.61978e+12"
"84",84,"9620000000000_93",0.19,6.98,71.36,0,37.81,26.48,1981,115075,40,14.07,14.5,19.68,18.13,17.09,13.25,1,0,0,NA,NA,9.61979e+12,"2429036870","9619786103527"
"85",85,"10600000000000_94",0.13,0,100,0,0,31.64,2012,45347,95,17.43,615,99.91,29.25,54.37,33.65,0,0,0,NA,NA,1.06217e+13,"2455463536","10621660119339"
"86",86,"17600000000000_95",0.17,0,81.88,0.32,17.81,29.22,1921,50958,64.5,13.19,241,69.99,20.46,35.75,27.85,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.76401e+13,"2470657642","17640141734359"
"87",87,"17600000000000_96",0.18,0,40.06,7.29,52.64,28.72,1979,52250,79.5,19.99,23,69.99,20.46,35.75,30.2,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.76401e+13,"2470670158","17640146010607"
"88",88,"23700000000000_98",0.21,0.4,39.38,5.09,55.13,28.97,1930,49375,100,25.17,205,62.7,36.2,21,14.05,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.36561e+13,"2522804595","23656072330033"
"89",89,"39700000000000_99",0.24,0,100,0,0,26.29,1952,171534,41.5,8.44,27.5,37.33,49.49,63.06,13.55,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.9685e+13,"2526130329","39685026041834"
"90",90,"1610000000000_100",0.11,0,100,0,0,27.86,2003,117917,74,6.5,98.5,80.37,19.56,37.46,28.75,0,0,0,NA,NA,1.61309e+12,"2568760422","1613090101212"
"91",91,"41700000000000_101",0.15,0,100,0,0,27.17,1923,138869,38.5,62.98,85.5,20.95,51.16,36.06,20.75,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16906e+13,"2595719171","41690624136693"
"92",92,"1610000000000_102",0.05,12.89,85.76,0,1.35,27.4,2003,34545,74,6,1523.5,87.03,19.56,38.8,19.7,0,0,0,NA,NA,1.61259e+12,"2853412739","1612590100701"
