"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"40800000000000_49",0.15,0,89.27,0,10.72,30.2,1958,101886,48,19.13,1523.5,46.01,50.32,30.01,18.55,1,0,0
"10600000000000_52",0.15,0,96.03,0,18.87,29.6,1989,101431,37.5,8.53,205,40.64,29.25,41.28,15.15,1,0,0
"10600000000000_54",0.14,2.3,98.53,0,0,28.61,1996,103563,37,14.58,241,35.57,29.25,36.49,10.3,0,0,0
"43700000000000_71",0.15,21.37,9.55,0,64.31,27.27,1971,101635,40,7.04,205,36.08,52.82,16.91,35.65,0,0,0
"4610000000000_87",0.15,1.74,56.69,0,11.32,29.55,1965,107462,75,46.62,336,69.99,34.92,39.53,20.4,0,0,0
"39700000000000_97",0.13,0,71.05,1.02,0,28.67,2005,108236,55,13.21,645,41.94,49.49,45.86,23.9,0,0,0
"28700000000000_151",0.19,1.33,73.93,6.38,0.89,26.83,1960,109756,31.5,14.6,241,48.15,40.35,19.32,13.75,0,0,0
"4610000000000_198",0.23,0,94.15,0.72,1.83,26.33,1970,106396,70,8.75,1894.5,46.04,19.73,51.63,15.65,0,0,0
"4610000000000_199",0.22,2.59,73.8,0,0,26.46,1952,106396,14,7.33,112.5,46.04,19.73,51.63,19.85,0,0,0
"41700000000000_222",0.11,0,100,0,0,27.96,1949,100357,23,11.29,1894.5,42.33,51.16,45.94,15.35,0,0,0
"41700000000000_223",0.11,0,100,0,1.03,27.22,1952,102449,67,11.97,241,53.15,51.16,45.06,24,0,0,0
"11600000000000_237",0.17,12.89,78.12,0,0,28.52,1952,100422,85,21.41,32.5,60.5,22.22,49.32,34.85,1,0,0
"7620000000000_255",0.12,0,95.85,0,23.38,31.08,2010,109071,26,21.42,98.5,77.78,21.42,37.9,18.3,0,0,0
"48700000000000_311",0.17,0,99.83,0,0,29.67,2000,101750,38.5,2.69,161,14.99,57.8,38.83,50.65,0,0,0
"48700000000000_312",0.18,0,99.84,0,0,29.7,1964,101750,0,8.88,1894.5,14.99,57.8,38.83,16.5,0,0,0
"48700000000000_313",0.17,0,99.36,0,0,29.64,1964,101750,31,31.57,112.5,14.99,57.8,38.83,15.45,0,0,0
"44700000000000_352",0.18,0,100,0,0,23.59,1993,100625,19,10.75,85.5,33.7,53.65,34.15,13.9,0,0,0
"10600000000000_355",0.17,0,95.91,0,0,27.9,2005,109115,65,9.57,1894.5,80.23,29.25,46.2,19.1,0,0,0
"44700000000000_389",0.19,0,100,0,0.4,24.29,1946,106750,91,14.02,27.5,39.13,53.65,38.98,32.6,0,0,0
"42700000000000_403",0.11,0,99.74,0,0.42,29.12,1931,104583,92,23.5,241,54.94,51.99,44.98,10.65,0,0,0
"15600000000000_424",0.14,0,100,0,0.82,31.21,1999,102663,27.5,54.26,85.5,23.38,27.08,37.42,12.65,0,0,0
"15600000000000_435",0.13,0,97.44,0,13.25,32.99,1970,105960,72.5,75.15,241,74.17,27.08,34.53,26.15,0,0,0
"15600000000000_439",0.13,0,100,0,0,32.99,1970,105960,72.5,75.15,1894.5,74.17,27.08,34.53,26.15,0,0,0
"10600000000000_448",0.17,0,98.33,0,6.87,29.55,1980,103542,49,17.57,1894.5,51.03,29.25,34.33,21.15,0,0,0
"10600000000000_477",0.17,0,96.82,0,0.09,29.58,2002,101894,86,27.29,220,95.32,29.25,40.79,37.1,0,0,0
"10600000000000_478",0.12,0,99.43,0,0,31.16,1999,101667,90,59.48,42,86.64,29.25,47.76,35.05,0,0,0
"10600000000000_479",0.12,0,98.41,0,0,31.16,1999,101667,90,59.48,271.5,86.64,29.25,47.76,35.05,0,0,0
"10600000000000_495",0.16,0,100,0,32.19,30.34,1980,101667,88,20.54,91,86.64,29.25,47.76,40.25,0,0,0
"39700000000000_525",0.15,0,89.61,0,0,28.14,1985,102277,74.5,13.37,27.5,56.7,49.49,34.68,40.85,0,0,0
"30664200000000_1215",0.1,0.56,99.44,0,0,40.28,2004,102784,61,21.22,20747,32.65,22.48,65.9,31.9,0,0,0
"19648400000000_105",0.12,0,98.97,0,1.03,39.97,1956,109195,81,10.43,112.5,31.6,34.92,68.08,5.75,0,0,0
"36750440000000_734",0.15,0,85.18,0,14.82,41.21,1999,100408,0,24.36,361.5,67.1,34.44,26.2,40,0,0,0
"30665200000000_1690",0.17,0,100,0,0,38.2,1992,100966,66,12.75,15,35.85,22.48,38.78,19.1,0,0,0
"36678800000000_2380",0.17,0,96.58,0,3.42,40.03,1998,108077,88,6.43,1894.5,72.76,34.44,51.43,27.35,0,0,0
"36103600000000_3082",0.17,0.08,99.59,0,0.33,40.15,2009,108568,86,562.21,20747,63.9,34.44,54.52,60,0,0,0
"30665100000000_3256",0.17,0,100,0,0,40.47,1965,100139,27,42.22,142.5,39.75,22.48,63.92,8.15,0,0,0
"19102000000000_1562",0.18,0,100,0,0,41.67,1921,106739,100,16.79,241,66.24,34.92,44.48,20.75,0,0,0
"30664600000000_297",0.19,0,100,0,0,37.92,1956,107639,58,15.17,1894.5,47.64,22.48,55.71,22.85,0,0,0
"30665200000000_3136",0.19,0,100,0,0,37.46,2015,100966,66,11.37,16,35.85,22.48,38.78,5.8,0,0,0
"19650400000000_367",0.21,0,98.81,0,1.19,38.64,1960,101250,88,19.07,645,47.14,34.92,50.72,28.95,0,0,0
"19650400000000_368",0.21,0,100,0,0,38.64,1960,101250,88,19.07,53.5,47.14,34.92,50.72,28.95,0,0,0
"19650400000000_369",0.21,0,98.67,0,0,38.64,1960,101250,88,19.07,645,47.14,34.92,50.72,28.95,0,0,0
"19650400000000_370",0.21,0,98.84,0,0,38.64,1960,101250,88,19.07,112.5,47.14,34.92,50.72,28.95,0,0,0
"33672300000000_1250",0.21,0,73.76,0,26.24,39.03,1990,106932,71,18.46,91,38.64,31.72,38.04,23.1,0,0,0
"30665200000000_1993",0.21,0,99.9,0,0.1,37.86,2000,105117,66,9.85,161,47.17,22.48,51.08,26.05,0,0,0
"30665200000000_1994",0.21,0.32,100,0,16.92,37.86,1941,105117,66,9.85,112.5,47.17,22.48,51.08,26.05,0,0,0
"30665200000000_1995",0.21,0,100,0,0,37.86,2003,105117,66,9.85,161,47.17,22.48,51.08,26.05,0,0,0
"30665200000000_1996",0.21,0,99.29,0,11.82,37.86,2005,105117,66,9.85,112.5,47.17,22.48,51.08,26.05,0,0,0
"30665200000000_1997",0.21,0,100,0,2.79,37.86,1990,105117,66,9.85,161,47.17,22.48,51.08,26.05,0,0,0
"19768700000000_2389",0.21,0,100,0,0,36.35,2017,106488,35,2.5,142.5,53.68,34.92,65.98,11.35,0,0,0
"30665200000000_2460",0.21,0,98.49,0,1.51,38.34,2003,101908,66,9.71,142.5,52.93,22.48,64.3,29.1,0,0,0
"36678400000000_2914",0.21,0,83.19,0,16.81,38.85,1997,104760,67,42.31,271.5,50.62,34.44,41.84,20.35,0,0,0
"19753400000000_2917",0.21,0,100,0,0,34.16,2005,106696,22,70.9,112.5,16.47,34.92,49.83,10.1,0,0,0
"19647900000000_3114",0.21,0,99.38,0,0.62,38.78,1960,102031,61,11.66,20747,46.9,34.92,68.87,24.25,0,0,0
"30664800000000_3294",0.21,0,99.47,0,0.53,38.02,2015,105847,43,20.97,1894.5,27.54,22.48,42.14,13.95,0,0,0
"19645200000000_891",0.22,0,100,0,0,39.45,1901,100368,84,51.76,20747,48.95,34.92,73.84,15.2,0,0,0
"19645200000000_892",0.22,0,100,0,11.37,39.45,1901,100368,84,51.76,112.5,48.95,34.92,73.84,15.2,0,0,0
"19645200000000_893",0.22,0,99.72,0,0,39.45,1901,100368,84,51.76,142.5,48.95,34.92,73.84,15.2,0,0,0
"19645200000000_894",0.22,0,100,0,0,39.45,1901,100368,84,51.76,20747,48.95,34.92,73.84,15.2,0,0,0
"19645200000000_895",0.22,0,100,0,0,39.45,1901,100368,84,51.76,20747,48.95,34.92,73.84,15.2,0,0,0
"19645200000000_896",0.22,0,100,0,0,39.45,1901,100368,84,51.76,142.5,48.95,34.92,73.84,15.2,0,0,0
