"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"36675900000000_3388",0.11,0,91.85,0,3.07,44.02,2013,43000,91,2.75,42.5,97.5,34.44,36.23,28.7,0,0,0
"36677800000000_3500",0.11,0,33.28,0,66.72,43.91,1950,66538,84,17.72,205,36.78,34.44,24.04,22.25,0,0,0
"36677800000000_3501",0.11,0,58.93,0,41.07,44.01,1950,93767,84,25.35,32.5,36.78,34.44,18.04,33.2,0,0,0
"30666500000000_3561",0.11,0,100,0,0,40.72,2008,48594,40,15,20747,33.43,22.48,69.97,16.95,0,0,0
"36738900000000_3848",0.11,0,43.36,0,56.64,41.09,2003,48688,82,13.59,205,202.56,34.44,49.06,26.25,0,0,0
"36738900000000_3849",0.11,0,28.95,0,71.05,41.09,1966,48688,82,13.59,205,202.56,34.44,49.06,26.25,0,0,0
"36675900000000_32",0.12,0,51.36,0,48.64,45.1,1990,48750,91,7.51,13,97.5,34.44,36.23,59.8,0,0,0
"36675900000000_33",0.12,0,80.69,0,19.31,45.23,1990,49318,91,7.51,241,97.5,34.44,36.23,59.8,0,0,0
"36675900000000_36",0.12,0,71.07,0,0,45.1,1990,48750,91,7.51,241,97.5,34.44,36.23,59.8,0,0,0
"19646300000000_476",0.12,0,100,0,0,37.83,2001,42308,49,2,183,99.47,34.92,50.73,17.45,0,0,0
"30103100000000_502",0.12,0,99.52,0,0.48,40.86,2015,62083,83,7.33,161,34.18,22.48,63.09,31.6,0,0,0
"30103100000000_511",0.12,0,100,0,3.1,40.86,2015,62083,83,7.33,112.5,34.18,22.48,63.09,34.9,0,0,0
"30103100000000_514",0.12,0,99.47,0,1.43,40.86,2015,62083,83,7.33,161,34.18,22.48,63.09,79.95,0,0,0
"30103100000000_515",0.12,0,96.34,0,0,40.86,2015,62083,83,7.33,20747,34.18,22.48,63.09,37.65,0,0,0
"30103100000000_516",0.12,0,98.33,0,0,40.86,2015,62083,83,7.33,161,34.18,22.48,63.09,23.85,0,0,0
"30103100000000_517",0.12,0,90.21,0,3.82,40.86,2015,62083,83,7.33,20747,34.18,22.48,63.09,15.8,0,0,0
"30103100000000_518",0.12,0,98.46,0,0,40.86,2015,62083,83,7.33,112.5,34.18,22.48,63.09,16.05,0,0,0
"30103100000000_521",0.12,0,100,0,0,40.86,2015,62083,83,7.33,20747,34.18,22.48,63.09,46.1,0,0,0
"30103100000000_522",0.12,0,100,0,2.33,40.86,2015,62083,83,7.33,142.5,34.18,22.48,63.09,34.9,0,0,0
"30103100000000_523",0.12,0.56,100,0,0,40.86,2015,62083,83,7.33,20747,34.18,22.48,63.09,47,0,0,0
"19649070000000_686",0.12,0,100,0,0,38.77,1878,32000,0,26.99,161,81.58,34.92,57.05,30.2,0,0,0
"19649070000000_714",0.12,0,100,0,24.92,38.77,2019,32000,0,19.94,161,81.58,34.92,57.05,30.2,0,0,0
"36679180000000_728",0.12,0,71.18,0,28.82,42.78,1959,57321,0,49.86,55,99.69,34.44,33.3,34.55,0,0,0
"19642460000000_747",0.12,0,98.63,0,1.37,41.7,1878,29167,0,14.9,278.5,158.01,34.92,44.3,29.3,0,0,0
"19642460000000_748",0.12,0,100,0,0,41.7,2016,29167,0,24.42,278.5,158.01,34.92,44.3,29.3,0,0,0
"19642460000000_754",0.12,0,96.36,0,3.64,41.61,1951,29167,0,14.45,278.5,158.01,34.92,44.3,29.3,0,0,0
"19642460000000_764",0.12,0,96.62,0,3.38,41.52,2003,29167,0,9.42,278.5,158.01,34.92,44.3,29.3,0,0,0
"19642460000000_765",0.12,0,95.72,0,27.21,41.52,1952,29167,0,89.32,278.5,158.01,34.92,44.3,29.3,0,0,0
"36103600000000_982",0.12,0.56,64.22,0,35.22,39.59,1995,25759,86,14.4,14.5,107.74,34.44,28.87,59.8,0,0,0
"36103600000000_983",0.12,0.72,76.55,0,50.15,39.59,1995,41602,86,14.4,14.5,107.74,34.44,28.87,5.4,0,0,0
"36103600000000_984",0.12,0,80.83,0,0.88,39.59,1995,64737,86,14.4,13,107.74,34.44,28.87,56.7,0,0,0
"36103600000000_985",0.12,0.24,41.67,0,15.53,39.59,1995,97706,86,14.4,13,107.74,34.44,28.87,23,0,0,0
"36679200000000_1078",0.12,0,74.72,0,25.28,41.28,2005,32237,95,16.96,1523.5,100.21,34.44,41.43,19.3,0,0,0
"19646300000000_1369",0.12,0,100,0,0,37.89,1971,43333,49,21.88,278.5,99.47,34.92,50.73,29.45,0,0,0
"19734400000000_1922",0.12,0,99.58,0,0.42,40.97,2013,96019,89,15.94,645,79.8,34.92,66.09,21.05,0,0,0
"36678300000000_2003",0.12,0,34.92,0,65.08,44.21,2018,62083,85,8.13,205,83.83,34.44,19.13,5.4,0,0,0
"36678300000000_2004",0.12,0,8.4,0,78.96,44.21,2018,48523,85,8.13,32.5,83.83,34.44,19.13,21.7,0,0,0
"36678300000000_2007",0.12,0,94.15,0,5.85,41.59,2018,25798,85,6.15,13,100.21,34.44,41.43,59.8,0,0,0
"36678300000000_2008",0.12,0,75,0,25,41.58,2018,25798,85,6.15,241,100.21,34.44,41.43,46.85,0,0,0
"36678300000000_2009",0.12,0,76.19,0,0,41.59,2018,25798,85,6.15,241,100.21,34.44,41.43,37.05,0,0,0
"19646300000000_2173",0.12,0,100,0,0,37.92,2019,43333,49,24.48,36,99.47,34.92,50.73,25.95,0,0,0
"15737400000000_2227",0.12,0,64.85,0,35.15,43.22,2006,46667,51,12.28,13,70.82,27.08,30.15,55.85,0,0,0
"14632700000000_2324",0.12,7.28,40.07,0,52.65,41.97,1991,73259,5,11.13,42,10.2,34.44,44.97,18.95,0,0,0
"15737400000000_2368",0.12,0,71.84,0,84.62,43.22,1984,46667,51,11.45,14.5,70.82,27.08,30.15,47,0,0,0
"36678800000000_2399",0.12,0,99.89,0,0.11,41.02,2010,42634,88,15.49,1894.5,97.86,34.44,57.58,23,0,0,0
"19744300000000_2485",0.12,0,100,0,0,37.58,1996,93750,0,14.45,20747,25.99,34.92,67.43,27.35,0,0,0
"36738900000000_2592",0.12,0,19.07,0,80.93,43.17,1979,58482,82,7.98,205,202.56,34.44,49.06,23.6,0,0,0
"36679200000000_2858",0.12,0,64.44,0,35.56,41.52,1990,54924,95,17.23,241,84.71,34.44,44.62,41.7,0,0,0
"36750800000000_2972",0.12,7.07,65.37,0,27.56,39.93,1992,95125,39,11.73,14.5,107.74,34.44,28.87,32.5,0,0,0
"33103300000000_2984",0.12,0,76,0,24,39.78,1981,23750,65,32.75,1894.5,57.29,31.72,28.56,68.45,0,0,0
"36677400000000_2991",0.12,0.32,69.47,0,30.21,41.33,2002,47759,49,4.42,220,55.93,34.44,50.58,15.75,0,0,0
"36677800000000_3502",0.12,0,48.64,0,51.36,43.91,2018,72366,84,13.36,1523.5,36.78,34.44,24.04,31.15,0,0,0
"15636900000000_3702",0.12,0,41.89,0,58.11,43.08,1958,44766,58,9.21,267,66.04,27.08,39.85,44,0,0,0
"36675900000000_3707",0.12,0,45.29,0,54.71,42.34,2006,68281,91,14.25,38.5,79.62,34.44,33.77,41.45,0,0,0
"36750500000000_78",0.13,0,76.71,0,23.29,41.59,1912,48656,83,49.5,241,62.88,34.44,36.77,17.85,0,0,0
"19648100000000_164",0.13,0,99.92,0,0.08,41.03,1920,61657,68,13.28,112.5,56.57,34.92,77.46,15.6,0,0,0
"19648100000000_165",0.13,0,100,0,0,41.03,1920,61657,68,13.28,20747,56.57,34.92,77.46,15.6,0,0,0
"15636900000000_257",0.13,0,44.89,0,55.11,42.53,1959,44766,58,10.04,241,66.04,27.08,39.85,38.6,0,0,0
"15636900000000_258",0.13,0,96.42,0,0,42.53,1959,44766,58,10.04,241,66.04,27.08,39.85,38.6,0,0,0
"19642100000000_412",0.13,0,100,0,0,38.22,1969,77426,71,7.53,27.5,26.12,22.48,46.7,2.95,0,0,0
"19642100000000_413",0.13,0,99.25,0,14.8,38.22,1969,77727,71,7.53,278.5,26.12,22.48,46.7,2.95,0,0,0
"30103100000000_506",0.13,0,100,0,0,40.9,2015,66051,83,7.33,161,34.18,22.48,63.09,88.9,0,0,0
"30103100000000_507",0.13,0,94.96,0,51.67,40.9,2015,66051,83,7.33,161,34.18,22.48,63.09,33.9,0,0,0
"30103100000000_508",0.13,0,99.83,0,0,40.9,2015,66051,83,7.33,20747,34.18,22.48,63.09,45,0,0,0
"30103100000000_509",0.13,0,99.53,0,5.08,40.9,2015,66051,83,7.33,161,34.18,22.48,63.09,22.35,0,0,0
"30103100000000_510",0.13,0,100,0,0,40.9,2015,66051,83,7.33,161,34.18,22.48,63.09,88.9,0,0,0
"30739240000000_656",0.13,0,98.89,0,1.11,38.46,1994,153000,0,18.3,20747,21.72,22.48,64.47,7.65,0,0,0
"36679180000000_733",0.13,0,66.86,0,33.14,42.92,2003,79821,0,5.5,55,99.69,34.44,33.3,34.55,0,0,0
"19645300000000_913",0.13,0,99.6,0,0.4,39.97,2016,61063,76,5.63,161,60.9,34.92,68.29,14.55,0,0,0
"15737400000000_995",0.13,0,61.48,0,38.52,44.74,2005,43682,51,13.08,205,70.82,27.08,22.73,23.35,0,0,0
"36750500000000_1191",0.13,0,17.12,0,82.88,43.09,2004,37041,83,15.38,32.5,81.42,34.44,30.58,28.7,0,0,0
"19646000000000_1271",0.13,1.21,97.1,0,1.69,34.15,1982,175893,7,13.97,85.5,12.77,34.92,41.45,6.3,0,0,0
"36677400000000_1361",0.13,0,7.28,0,92.72,40.79,2014,59527,49,3.13,241,55.93,34.44,50.58,18.9,0,0,0
"19734400000000_1396",0.13,0,100,0,0,39.27,2016,46923,89,20.25,1894.5,82.3,34.92,64.48,27.7,0,0,0
"36677800000000_1503",0.13,0,42.39,0,57.61,43.95,2013,48171,84,14.38,14.5,56.39,34.44,23.19,31.45,0,0,0
"36677800000000_1504",0.13,0,63.04,0,42.89,43.95,2013,48171,84,14.38,205,56.39,34.44,23.19,31.45,0,0,0
"36677800000000_1505",0.13,0,42.7,0,57.3,42.92,2013,31000,84,14.38,205,56.39,34.44,23.19,31.45,0,0,0
"30666500000000_1940",0.13,0,100,0,0,40.59,2004,48594,40,12.92,20747,33.43,22.48,69.97,22.35,0,0,0
"36678300000000_2000",0.13,0,42.16,0,57.84,45.58,2018,59097,85,8.13,205,83.83,34.44,19.13,5.4,0,0,0
"36678300000000_2001",0.13,0,46.15,0,53.85,45.58,2018,47083,85,8.13,42.5,83.83,34.44,19.13,5.7,0,0,0
"36678300000000_2002",0.13,0,20.03,0,53.85,45.58,2018,31506,85,8.13,14.5,83.83,34.44,19.13,93.45,0,0,0
"36676100000000_2396",0.13,0,35.06,0,64.94,43.2,2006,53281,64,1,32.5,202.56,34.44,41.21,26.25,0,0,0
"36678800000000_2400",0.13,0,100,0,0,40.95,2010,54583,88,11.86,83,97.86,34.44,57.58,40.6,0,0,0
"36678800000000_2401",0.13,0,78.87,0,1.4,40.95,2010,59603,88,7.57,271.5,97.86,34.44,57.58,7.15,0,0,0
"36678800000000_2402",0.13,0,100,0,0.95,40.95,2010,39102,88,2,1894.5,97.86,34.44,57.58,30.75,0,0,0
"36678800000000_2403",0.13,0,98.97,0,6.92,40.95,2010,54924,88,19.27,164,97.86,34.44,57.58,38.75,0,0,0
"36678800000000_2407",0.13,0,100,0,6.92,40.95,2010,40724,88,31.45,929,97.86,34.44,57.58,51.3,0,0,0
"36678800000000_2408",0.13,0,98.49,0,1.12,40.95,2010,50483,88,10.24,112.5,97.86,34.44,57.58,30.65,0,0,0
"36678800000000_2413",0.13,0,98.95,0,6.98,40.95,2010,40474,88,16.79,1894.5,97.86,34.44,57.58,41.45,0,0,0
"36678800000000_2414",0.13,0,100,0,2.31,40.95,2010,58949,88,9.5,42,97.86,34.44,57.58,88.9,0,0,0
"10623800000000_2417",0.13,0,99.6,0,0.4,38.96,2017,57608,96,58.24,53.5,32.25,34.44,53.91,25.2,0,0,0
"19645200000000_2446",0.13,0,100,0,0,40.47,1968,39477,84,17.25,161,64.3,34.92,72.9,36.8,0,0,0
"36750800000000_2809",0.13,0,91.33,0,8.67,39.53,2010,94594,39,41.3,241,98.07,34.44,19.24,61.8,0,0,0
"19734600000000_3009",0.13,0,99.91,0,0.09,40.4,1888,76028,21,15.43,142.5,26.46,34.92,53.8,52,0,0,0
"19734600000000_3010",0.13,0,99.28,0,2.47,40.4,1990,68702,21,15.43,20747,26.46,34.92,53.8,52,0,0,0
"19734600000000_3011",0.13,0,100,0,2.37,40.4,2009,70764,21,15.43,20747,26.46,34.92,53.8,52,0,0,0
"15637800000000_3035",0.13,0,56.3,0,43.7,44.79,1997,33958,83,41.5,13,67.19,27.08,27,29,0,0,0
"15637800000000_3036",0.13,0,15.54,0,52.1,44.79,2013,37361,83,41.5,205,67.19,27.08,27,29,0,0,0
"15637800000000_3037",0.13,0,68.31,0,31.69,44.72,2004,59097,83,41.5,267,67.19,27.08,27,29,0,0,0
"36678800000000_3250",0.13,0,96.29,0,3.71,40.59,2008,12969,88,20.13,83,92.63,34.44,56.7,38.9,0,0,0
"19102000000000_3691",0.13,0,100,0,0,38.61,1972,48750,100,1,241,128.01,34.92,53.94,46.1,0,0,0
"19102000000000_3692",0.13,0,100,0,0,38.64,1920,49318,100,1,241,128.01,34.92,53.94,48.35,0,0,0
"36675900000000_3706",0.13,0,23.91,0,76.09,43.03,2006,38260,91,14.25,14.5,79.62,34.44,33.77,41.45,0,0,0
"36679200000000_3716",0.13,0,60.65,0,39.35,42.94,2007,63977,95,17.59,13,70.58,34.44,38.81,15.8,0,0,0
"33670800000000_3746",0.13,0,100,0,0,41.68,1991,39402,92,24.48,267,96.83,31.72,36.85,46.1,0,0,0
"36750500000000_79",0.14,0,88,0,12,41.66,1912,48656,83,49.5,1894.5,62.88,34.44,36.77,18.3,0,0,0
"36678800000000_161",0.14,0,88.56,0,11.44,41.41,2009,36002,88,6.5,161,64.79,34.44,48.29,60.3,0,0,0
"19645900000000_292",0.14,0,100,0,0,39.61,1907,52233,81,22.68,361.5,51.1,34.92,46.27,28.6,0,0,0
"15636800000000_327",0.14,0,11.16,0,88.84,46.05,1991,32500,79,17.39,241,83.1,27.08,45.38,56.7,0,0,0
"19645010000000_668",0.14,0,100,0,0,40.24,1965,39477,84,17.24,112.5,48.95,34.92,73.84,13.65,0,0,0
"19649070000000_669",0.14,0,100,0,0,38.71,1985,32000,0,22.75,161,81.58,34.92,57.05,30.2,0,0,0
"36679180000000_692",0.14,0,60.38,0,39.62,41.53,1977,26554,0,24.49,55,107.74,34.44,38.3,34.55,0,0,0
"30665140000000_707",0.14,0,99.36,0,0.64,40.78,1893,76563,0,12.9,161,46.82,22.48,65.23,12.85,0,0,0
"30665140000000_708",0.14,0,84.62,0,1.54,40.78,1893,76563,0,19.1,20747,46.82,22.48,65.23,12.85,0,0,0
"36679340000000_710",0.14,0,55.75,0,44.25,41.72,2006,54875,0,8.23,199,94.91,34.44,43.08,17.95,0,0,0
"19645010000000_729",0.14,0,100,0,0,40.41,2005,39477,84,12.67,20747,51.4,34.92,74.1,13.65,0,0,0
"30665140000000_787",0.14,0,100,0,0,40.78,1957,76563,0,12.6,142.5,46.82,22.48,65.23,12.85,0,0,0
"30665140000000_788",0.14,0,100,0,0,40.78,2005,76563,0,15.48,20747,46.82,22.48,65.23,12.85,0,0,0
"19649800000000_871",0.14,0,99.92,0,0.08,33.96,1975,120781,33,13.57,161,50.21,34.92,64.75,14.35,0,0,0
"30666500000000_882",0.14,0,100,0,0,40.15,1968,111471,40,5.14,112.5,27.23,22.48,53.18,84.25,0,0,0
"19646300000000_1343",0.14,0,100,0,0,38.17,2009,43333,49,11.5,929,99.47,34.92,50.73,23.6,0,0,0
"19646300000000_1344",0.14,0,98.77,0,0.8,38.17,2009,43333,49,11.5,15,99.47,34.92,50.73,15,0,0,0
"33751800000000_2123",0.14,0,90.71,0,9.29,41.1,2007,33958,64,2.99,27.5,57.48,31.72,46.07,0.95,0,0,0
"33751800000000_2125",0.14,1.12,88.95,0,1.77,41.1,2007,33958,64,18.31,278.5,57.48,31.72,46.07,16.8,0,0,0
"15737400000000_2140",0.14,0,93.6,0,6.4,41.66,2009,66250,51,31.5,38.5,70.82,27.08,38.72,25.95,0,0,0
"33751800000000_2143",0.14,0,97.85,0,14.62,41.1,2007,33958,64,16.8,1894.5,57.48,31.72,46.07,22.25,0,0,0
"33751800000000_2144",0.14,0,44.84,0,14.35,41.1,2007,33958,64,71.21,16,57.48,31.72,46.07,24.7,0,0,0
"33751800000000_2165",0.14,0,85.42,0,5.27,41.1,2007,33958,64,16.88,164,57.48,31.72,46.07,47,0,0,0
"33751800000000_2187",0.14,0,100,0,0,41.1,2007,33958,64,9.42,36,57.48,31.72,46.07,64.85,0,0,0
"33751800000000_2195",0.14,0,100,0,24.04,41.1,2007,33958,64,12.19,55,57.48,31.72,46.07,16.6,0,0,0
"15737400000000_2228",0.14,0,100,0,0,41.66,2009,83590,51,58.24,1894.5,70.82,27.08,38.72,88.85,0,0,0
"33751800000000_2357",0.14,0,70.78,0,1.47,41.1,2007,33958,64,13.64,645,57.48,31.72,46.07,18.9,0,0,0
"33751800000000_2358",0.14,0,98.25,0,3.3,41.1,2007,33958,64,13.18,164,57.48,31.72,46.07,22.25,0,0,0
"15636900000000_2456",0.14,0,37.01,0,62.99,44.8,2016,56726,58,15.58,36,35.39,27.08,41.89,31.5,0,0,0
"33671800000000_2477",0.14,0,100,0,0,43.76,2008,29766,81,16.38,241,75.75,31.72,34.8,15.8,0,0,0
"9765960000000_2479",0.14,0,100,0,0,37.46,1998,85856,0,17.01,112.5,32.3,22.48,54.27,19.45,0,0,0
"19648100000000_2522",0.14,0,100,0,0,41.28,1880,35455,68,2.5,85.5,46.84,34.92,68.55,13.4,0,0,0
"19645200000000_2531",0.14,0,100,0,0,40.17,1880,39477,84,34.99,20747,64.3,34.92,72.9,36.2,0,0,0
"30666100000000_2641",0.14,0,100,0,0,36.11,2018,55489,35,18.59,20747,39.05,22.48,61.66,21.85,0,0,0
"36750800000000_2808",0.14,0,69.32,0,30.68,38.73,2010,62083,39,41.3,241,98.07,34.44,19.24,61.8,0,0,0
"36679200000000_3244",0.14,0,90.86,0,9.14,41.09,2004,26797,95,7.35,241,94.91,34.44,43.08,20.65,0,0,0
"30103100000000_3506",0.14,0,99.92,0,0.08,37.98,2017,102031,83,2.3,112.5,28.96,22.48,51.5,34.35,0,0,0
"30103100000000_3507",0.14,0,100,0,14.8,37.98,2017,35208,83,2.3,645,28.96,22.48,51.5,28.1,0,0,0
"30103100000000_3508",0.14,0,100,0,0.1,37.98,2017,45375,83,2.3,53.5,28.96,22.48,51.5,23.95,0,0,0
"30103100000000_3509",0.14,0,94.33,0,0,37.98,2017,76719,83,2.3,645,28.96,22.48,51.5,31.55,0,0,0
"30103100000000_3510",0.14,0,74.54,0,0,37.98,2017,28589,83,2.3,112.5,28.96,22.48,51.5,27.2,0,0,0
"30103100000000_3511",0.14,0,100,0,0,37.98,2017,69063,83,2.3,1894.5,28.96,22.48,51.5,33.65,0,0,0
"30103100000000_3512",0.14,0,98.9,0,3.1,37.98,2017,45375,83,2.3,125.5,28.96,22.48,51.5,51.35,0,0,0
"30103100000000_3513",0.14,0,100,0,0,37.98,2017,127596,83,2.3,112.5,28.96,22.48,51.5,15.75,0,0,0
"30103100000000_3514",0.14,0,93.59,0,0,37.98,2017,51750,83,2.3,1894.5,28.96,22.48,51.5,27.55,0,0,0
"30103100000000_3515",0.14,0,100,0,2.5,37.98,2017,74844,83,2.3,112.5,28.96,22.48,51.5,19.1,0,0,0
"30103100000000_3516",0.14,0,100,0,0,37.98,2017,27227,83,2.3,53.5,28.96,22.48,51.5,24.75,0,0,0
"30103100000000_3517",0.14,0,98.33,0,0,37.98,2017,113056,83,2.3,112.5,28.96,22.48,51.5,16.4,0,0,0
"30103100000000_3518",0.14,0,96.62,0,0,37.98,2017,78300,83,2.3,112.5,28.96,22.48,51.5,38.1,0,0,0
"30103100000000_3519",0.14,0,99.05,0,0,37.98,2017,41602,83,2.3,53.5,28.96,22.48,51.5,41.05,0,0,0
"19651500000000_3633",0.14,0,12.4,0,87.6,41.39,2004,54618,97,21.42,14.5,110.17,34.92,28.03,41.15,0,0,0
"19648100000000_3817",0.14,0,100,0,0,41.22,2016,76500,68,13.67,53.5,72.44,34.92,57.24,22.05,0,0,0
"36677800000000_3862",0.14,0,45.14,0,54.86,43.98,1980,53688,84,40.58,13,54.19,34.44,22.08,39.8,0,0,0
"30103100000000_24",0.15,0,99.52,0,0.48,36.53,1980,85856,83,30.1,161,15.91,22.48,62.54,8.2,0,0,0
"30103100000000_25",0.15,0,100,0,0,36.83,1980,85856,83,30.1,20747,15.91,22.48,62.54,8.2,0,0,0
"19648100000000_102",0.15,0,99.84,0,0.16,40.1,2011,66250,68,16.88,645,57.34,34.92,59.36,14.4,0,0,0
"33671700000000_465",0.15,0,99.12,0,0.88,46.97,1990,33988,96,19.2,1894.5,26.26,31.72,27.49,34.9,0,0,0
"36750800000000_640",0.15,0.08,76.73,0,23.19,39.36,1961,69926,39,13.56,464,87.61,34.44,21.33,45.1,0,0,0
"19649070000000_652",0.15,0,99.52,0,0.48,38.76,1960,32000,0,7.33,161,81.58,34.92,57.05,30.2,0,0,0
"19645010000000_724",0.15,0,100,0,0,40.43,1976,39477,84,17.01,20747,51.4,34.92,74.1,13.65,0,0,0
"30665480000000_730",0.15,0,99.92,0,0.08,37.73,1994,136061,0,28.08,20747,32.83,22.48,60.31,13.1,0,0,0
"19647330000000_737",0.15,0,100,0,0,40.45,1980,64861,0,1,20747,67.65,34.92,58.47,28.75,0,0,0
"33751800000000_919",0.15,0,97.69,0,2.31,40.91,1884,33958,64,18.3,1894.5,57.48,31.72,46.07,41.65,0,0,0
"33751800000000_920",0.15,0,100,0,0.09,40.91,1884,33958,64,18.3,278.5,57.48,31.72,46.07,41.65,0,0,0
"19644500000000_1102",0.15,0,100,0,0,39.33,2012,59022,75,13.15,20747,33.3,34.92,69.48,32.55,0,0,0
"33670600000000_1110",0.15,0,100,0,0,44.83,1968,105326,91,12.28,16,22.22,31.72,22.99,40.9,0,0,0
"33670600000000_1111",0.15,0,15.56,0,76.41,44.83,2015,68568,91,12.28,241,22.22,31.72,22.99,34.9,0,0,0
"19646300000000_1162",0.15,0,100,0,0,38.45,2013,46875,49,3.25,199,93.09,34.92,50.16,44,0,0,0
"19646300000000_1163",0.15,0,100,0,0,38.33,2013,46875,49,3.25,27.5,93.09,34.92,50.16,28.75,0,0,0
"19646300000000_1165",0.15,0,100,0,0,38.33,2013,46875,49,3.25,361.5,93.09,34.92,50.16,44.6,0,0,0
"19646300000000_1166",0.15,0,97.37,0,0,38.33,2013,46875,49,3.25,199,93.09,34.92,50.16,42.95,0,0,0
"19753300000000_1188",0.15,2.7,95.27,0.76,1.27,33.7,2006,250000,3,25.75,20747,13.27,34.92,42.12,5.75,0,0,0
"19646300000000_1279",0.15,0,100,0,0,38.8,1966,56771,49,11.88,55,93.43,34.92,44.37,39.65,0,0,0
"36677400000000_1358",0.15,0,17.09,0,82.91,40.58,2014,63831,49,3.13,241,55.93,34.44,50.58,7.35,0,0,0
"36677400000000_1359",0.15,0,87.93,0,1.1,40.58,2014,65739,49,3.13,112.5,55.93,34.44,50.58,31.4,0,0,0
"36677400000000_1360",0.15,0,98.17,0,0,40.58,2014,67404,49,3.13,645,55.93,34.44,50.58,39.1,0,0,0
"19646900000000_1449",0.15,0,99.61,0,0.39,38.33,2006,43571,90,24.69,1894.5,61.84,34.92,64.38,17.1,0,0,0
"15737400000000_1664",0.15,0,85.22,0,14.78,42.48,1961,83523,51,11.57,241,70.82,27.08,30.15,19.05,0,0,0
"14632700000000_2152",0.15,15.71,37.46,0,46.83,41.66,1991,73259,5,15.2,27.5,10.2,34.44,44.97,19.45,0,0,0
"33670660000000_2204",0.15,0,100,0,0,40.91,1982,33958,0,22.2,1894.5,57.48,31.72,46.07,34.7,0,0,0
"33670660000000_2213",0.15,0,98.13,0,1.88,40.9,1997,33958,0,23.58,1894.5,57.48,31.72,46.07,28.85,0,0,0
"14632700000000_2214",0.15,0,19.41,0,64.21,41.66,1991,73259,5,7.33,112.5,10.2,34.44,44.97,10.75,0,0,0
"30742500000000_2235",0.15,0,99.44,0,0.56,36.53,1950,99551,0,9.32,20747,15.91,22.48,62.54,39.05,0,0,0
"10623800000000_2379",0.15,0.48,94.01,0,5.51,40.34,2017,71908,96,45.01,53.5,43.8,34.44,58.11,69.1,0,0,0
"19648400000000_2409",0.15,0,99.9,0,0.1,39.54,2006,65924,81,54.26,112.5,54.67,34.92,64.7,22.2,0,0,0
"19646300000000_2422",0.15,0,100,0,0,38.36,2009,22668,49,21.26,241,96.5,34.92,46.57,61.8,0,0,0
"19112000000000_2517",0.15,0,100,0,0,39.14,2004,59022,0,9.11,142.5,33.3,34.92,69.48,18.1,0,0,0
"19645200000000_2562",0.15,0,100,0,0,40.43,2010,39477,84,18.74,161,51.4,34.92,74.1,32.45,0,0,0
"33751800000000_2713",0.15,0,71.05,0,28.95,41.03,1965,33958,64,65.96,53.5,57.48,31.72,46.07,63.7,0,0,0
"33751800000000_2714",0.15,0,95.59,0,4.86,40.96,2008,33958,64,65.96,112.5,57.48,31.72,46.07,63.7,0,0,0
"19650400000000_2940",0.15,0,100,0,0,39.52,1928,57891,88,17.81,112.5,45.04,34.92,68.14,13.85,0,0,0
"19650400000000_2941",0.15,0,100,0,20.67,39.52,1928,61063,88,17.81,85.5,45.04,34.92,68.14,13.85,0,0,0
"19650000000000_2964",0.15,2.79,79.09,0,18.12,43.17,2006,67721,22,17.25,241,58.78,34.92,46.97,16.9,0,0,0
"19650000000000_2965",0.15,0,95.23,0,0.11,43.17,1958,52750,22,17.25,15,58.78,34.92,46.97,16.9,0,0,0
"19650000000000_2966",0.15,0,100,0,0,43.17,2000,58423,22,17.25,27.5,58.78,34.92,46.97,16.9,0,0,0
"33752400000000_3559",0.15,0,89.39,0,10.61,40.59,2008,111453,80,19.77,241,57.29,31.72,28.56,37.5,0,0,0
"33670800000000_3745",0.15,0,100,0,0,42.19,2007,47917,92,24.48,145,55.09,31.72,36.18,46.1,0,0,0
"19645900000000_3864",0.15,0,100,0,0,39.67,2012,69583,81,32.99,645,77.65,34.92,56.45,40.5,0,0,0
"19645900000000_3865",0.15,0,100,0,0,39.7,1951,58185,81,32.99,645,77.65,34.92,56.45,40.5,0,0,0
"19645900000000_3866",0.15,0,100,0,0,39.7,1972,59250,81,32.99,53.5,77.65,34.92,56.45,40.5,0,0,0
"19646900000000_232",0.16,0,100,0,0,38.36,1997,31000,90,28.08,161,61.84,34.92,64.38,24.45,0,0,0
"54722600000000_637",0.16,0,99.47,0,0.53,41.53,2007,38361,71,22.89,20747,46.89,28.45,70.44,18.8,0,0,0
"19647330000000_663",0.16,0,100,0,0,41.09,1901,52031,0,0.75,20747,44.43,34.92,71.78,28.75,0,0,0
"36679340000000_683",0.16,0,91.05,0,8.95,40.28,1915,54875,0,2.37,199,94.91,34.44,43.08,17.95,0,0,0
"19757130000000_696",0.16,0,100,0,0,41.46,2001,72226,0,9.11,20747,33.33,34.92,57.32,9.7,0,0,0
"36679340000000_709",0.16,0,89.78,0,0.13,40.28,1961,54875,0,23.5,199,94.91,34.44,43.08,17.95,0,0,0
"19648160000000_762",0.16,2.47,85.71,0,11.82,39.58,1964,58194,0,68.6,20747,73.28,34.92,69.27,26.1,0,0,0
