School_ID,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,ndvi_median,Land_Surface_Temp_median,Year_built,Median_income_BG_2021,Percent_FRPM,Student_Staff_Ratio,Students_with_Disabilities_mean,Asthma_Rates,Covid19_rate_of_infection_1000_people,Pollution_Burden,Chronic_Abs_Avg_Rate,retrofit,ndvi_median_binary,retrofit_and_ndvi,Diversity_Index
7620000000000_129,0,83.47,11.45,5.09,0.18,25.53,1960,82857,NA,NA,NA,50.51,21.42,40.85,NA,0,0,0,0.74
43700000000000_130,0,98.25,0,0.79,0.11,28.74,1975,129904,NA,NA,NA,32.76,52.82,25.85,NA,0,0,0,0.5
43700000000000_131,0,99.84,0,0.16,0.13,29.07,1962,142162,9,1,NA,16.56,52.82,21.23,4.9,0,0,0,0.14
43700000000000_132,0,100,0,0,0.13,28.83,1957,236324,33,2,NA,11.12,52.82,28.54,12.65,0,0,0,0.66
43700000000000_133,0,100,0,0,0.16,27.21,1957,213906,2.5,2,NA,8.54,52.82,33.59,2.4,0,0,0,0.56
43700000000000_134,0,97.04,0,2.96,0.13,29.58,1957,175385,7,4,NA,13.09,52.82,32.31,2.65,0,0,0,0.2
1750000000000_135,NA,NA,NA,NA,0.12,28.2,2005,250000,NA,NA,1570.5,32.04,19.56,30.77,NA,0,0,0,0.57
7620000000000_136,0,97.93,0,0.8,0.12,29.67,2007,129760,NA,NA,NA,76.81,21.42,33.06,NA,0,0,0,NA
23700000000000_137,4.62,30.65,9.95,54.78,0.25,18.43,2003,66500,60,1,NA,21.59,36.2,29.06,42.2,1,1,1,NA
42700000000000_138,0,95,0,2.94,0.12,27.67,2004,79000,80,5,NA,54.4,51.99,33.7,30.25,0,0,0,0.24
28700000000000_139,2.15,97.85,0,0,0.17,27.52,1976,55938,85.5,2,1286,43.69,40.35,46.85,28.55,0,0,0,0.14
15100000000000_140,0,40.89,0,9.67,0.16,33.27,2011,49594,83,1,NA,41.66,27.08,44.41,30.9,0,0,0,0.09
28700000000000_141,0,100,0,0,0.15,29.33,2017,133214,85.5,2,NA,37.4,40.35,38.37,32.75,0,0,0,0.17
28700000000000_142,0,88.72,0,10.96,0.2,28.99,1930,95994,75.5,48,NA,36.71,40.35,27.15,9.35,1,0,0,0.38
28700000000000_143,0,99.25,0,0.75,0.13,29.95,2003,90714,42,1,NA,42.44,40.35,46.33,19.3,0,0,0,NA
10800000000000_144,0,80.54,0,0,0.13,31.98,1951,34750,86.5,50,NA,45.47,29.25,52.37,48.25,0,0,0,0.03
16700000000000_145,NA,NA,NA,NA,0.1,34.95,NA,59024,NA,NA,NA,45.07,42.51,20.5,NA,1,0,0,NA
16700000000000_146,NA,NA,NA,NA,0.1,34.95,NA,59024,NA,NA,NA,45.07,42.51,20.5,NA,1,0,0,NA
16700000000000_147,NA,NA,NA,NA,0.1,34.95,NA,59024,NA,NA,NA,45.07,42.51,20.5,NA,1,0,0,NA
16700000000000_148,0,66.8,0,3.34,0.11,34.15,1992,41255,60,0,NA,45.07,42.51,20.5,NA,1,0,0,0.01
16700000000000_149,0,76.59,0,2.14,0.09,35.05,1939,37056,92.5,19,NA,45.07,42.51,20.5,17.6,1,0,0,0.06
28700000000000_150,0.8,99.2,0,0,0.15,28.58,1949,82000,56,3,NA,48.15,40.35,38.35,13.5,0,0,0,0.38
24700000000000_152,0,22.26,0,5.01,0.2,29.14,1953,58750,37.5,7,NA,80.7,37.03,54.66,9.65,0,0,0,0.56
43700000000000_153,0,100,0,0,0.09,29.33,NA,77813,78,1,NA,63.73,52.82,52.87,25,0,0,0,0.26
43700000000000_154,0,100,0,0,0.14,28.13,1992,138295,NA,NA,1570.5,29.98,52.82,38.78,NA,0,0,0,NA
43700000000000_155,0,100,0,0,0.14,27.92,1930,177639,37,1,1570.5,28.01,52.82,28.94,12.65,0,0,0,0.35
43700000000000_156,0,100,0,0,0.16,27.39,NA,235893,25.5,2,1570.5,35.85,52.82,43.97,21.6,0,0,0,0.55
43700000000000_157,1.68,98.16,0,0.16,0.12,28.17,2014,99531,NA,NA,1570.5,30.06,52.82,30.83,NA,0,0,0,NA
43700000000000_158,0,100,0,0,0.12,28.55,NA,170405,50.5,1,1570.5,40.86,52.82,35.55,21.65,0,0,0,0.64
43700000000000_159,0,98.41,0,0,0.15,27.45,1931,245125,52.5,3,NA,30.76,52.82,41.22,20.85,0,0,0,0.36
43700000000000_160,0,100,0,0,0.15,27.83,NA,250000,8,2,NA,27.07,52.82,29.85,6.2,0,0,0,0.51
43700000000000_161,0,100,0,0,0.09,29.17,1930,133676,65,1,NA,64.26,52.82,55.88,27.5,0,0,0,0.29
39700000000000_162,0,100,0,0,0.15,29.48,NA,69542,87.5,1,NA,71.8,49.49,47.26,30.85,0,0,0,0.64
39700000000000_163,0,100,0,0,0.07,30.77,NA,31467,88,0,NA,NA,NA,NA,68.5,0,0,0,NA
39700000000000_164,2.46,97.54,0,0,0.12,29.55,2000,35366,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
39700000000000_165,0,78.42,0,0,0.15,30.74,1949,53155,82.5,1,NA,57.92,49.49,42.43,34.4,0,0,0,0.25
39700000000000_166,0,100,0,0,0.15,29.49,1991,60114,86.5,1,NA,81.46,49.49,46.29,41.6,0,0,0,0.54
39700000000000_167,0,100,0,0,0.12,30.61,2018,38750,89.5,2,NA,98.75,49.49,58.55,32.2,0,0,0,0.21
40700000000000_168,0.2,96.2,0,3.6,0.08,23.34,1960,NA,41.5,8,NA,39.13,50.32,35.9,18.35,0,0,0,NA
40700000000000_169,18.26,75.2,0.16,6.38,0.13,28.36,1962,89531,53.5,4,NA,17.69,50.32,38.38,23,0,0,0,0.58
40700000000000_170,0.4,51.63,0,17.98,0.2,28.36,1958,146038,20.5,4,NA,37.22,50.32,51.04,11.2,0,0,0,0.31
28700000000000_171,0,89.33,0,10.67,0.14,27.42,2005,181607,44,3,421,71,40.35,24.53,15.75,0,0,0,0.67
10600000000000_172,0,93.8,0,5.25,0.13,28.92,2007,143409,24.5,1,NA,28.15,29.25,34.23,8.95,0,0,0,0.57
28700000000000_173,0,73.41,1.67,24.92,0.19,28.55,2018,121950,79.5,2,NA,42.13,40.35,46.07,28.9,0,0,0,0.39
28700000000000_174,0,99.63,0,0.37,0.14,29.61,NA,90714,56.5,9,NA,42.44,40.35,46.33,20.7,1,0,0,NA
28700000000000_175,0,52.11,1.51,29.04,0.21,27.58,1950,135000,69.5,3,NA,32.58,40.35,39.87,20.95,0,0,0,0.51
28700000000000_176,NA,NA,NA,NA,0.14,29.61,NA,90714,56.5,9,NA,42.44,40.35,46.33,20.7,1,0,0,NA
27700000000000_177,0,81.59,0,0.08,0.13,25.77,2004,78106,61,10,NA,NA,NA,NA,17.75,0,0,0,0.48
43700000000000_178,0,98.57,0,1.43,0.12,29.28,1965,249519,7,2,NA,10.91,52.82,36.75,5.4,0,0,0,0.14
7620000000000_179,0,88.6,0.24,11.16,0.16,27.08,1976,111891,NA,NA,NA,48.26,21.42,29.25,NA,0,0,0,0.7
23700000000000_180,1.59,20.49,7.07,70.85,0.17,30.02,1930,50341,94.5,17,NA,62.7,36.2,21,30.9,1,0,0,0.42
23700000000000_181,NA,NA,NA,NA,0.21,28.97,1930,49375,100,2,NA,62.7,36.2,21,15.65,1,0,0,NA
23700000000000_182,NA,NA,NA,NA,0.21,28.97,1930,49375,100,2,NA,62.7,36.2,21,15.65,1,0,0,NA
1610000000000_183,0,100,0,0,0.04,28.52,1960,63813,NA,NA,NA,129.22,19.56,47.86,NA,0,0,0,0.11
15600000000000_184,0,26.11,0,0,0.12,33.16,2008,NA,93,10,NA,84.72,27.08,60.06,27.25,0,0,0,NA
57700000000000_185,0,100,0,0,0.18,27.36,1914,67865,78.5,2,NA,51.44,64.45,45.88,31.45,0,0,0,0.35
1610000000000_186,0,100,0,0,0.1,28.32,2010,NA,NA,NA,1058,101.31,19.56,34.33,NA,0,0,0,0.55
1610000000000_187,0,100,0,0,0.1,28.29,1995,65625,NA,NA,NA,101.31,19.56,34.33,NA,0,0,0,0.51
1610000000000_188,0,98.09,0,0,0.13,27.58,NA,56953,NA,NA,NA,76.6,19.56,41.58,NA,0,0,0,0.36
1610000000000_189,0,100,0,0,0.1,27.36,2005,68864,NA,NA,NA,71.68,19.56,37.48,NA,0,0,0,NA
1610000000000_190,0,100,0,0,0.11,27.62,1995,167778,NA,NA,267,60.43,19.56,40.52,NA,0,0,0,0.69
1610000000000_191,0,100,0,0,0.13,27.36,1995,90717,NA,NA,NA,71.68,19.56,37.48,NA,0,0,0,0.61
1610000000000_192,0,100,0,0,0.12,27.61,1955,117917,NA,NA,NA,60.43,19.56,40.52,NA,0,0,0,NA
10600000000000_193,NA,NA,NA,NA,0.17,29.52,1957,117370,NA,NA,NA,71.87,29.25,56.21,NA,0,0,0,NA
15700000000000_194,0,96.08,0,0.82,0.12,32.8,1930,36190,87.5,20,NA,59.59,27.08,49.45,16.85,1,0,0,0.04
15600000000000_195,0,81.96,0,7.02,0.11,34.02,1961,23333,89,6,NA,69.27,27.08,39.57,25.4,0,0,0,NA
10700000000000_196,0,89.12,0,7.84,0.13,31.08,1960,73047,72,3,837.5,98.34,29.25,42.74,24.75,0,0,0,0.57
43700000000000_197,0,100,0,0,0.12,28.86,2019,250000,NA,NA,NA,13.01,52.82,27.74,NA,0,0,0,NA
1610000000000_200,1.91,98.09,0,0,0.14,27.45,1963,79525,NA,NA,NA,63.37,19.56,36.01,NA,0,0,0,0.69
1610000000000_201,0,100,0,0,0.12,29.05,1960,179125,NA,NA,NA,66.86,19.56,29.21,NA,0,0,0,0.46
1610000000000_202,NA,NA,NA,NA,0.12,29.05,1960,179125,NA,NA,NA,66.86,19.56,29.21,NA,0,0,0,0.46
1610000000000_203,0,100,0,0,0.12,28.85,1960,136000,NA,NA,NA,66.86,19.56,29.21,NA,0,0,0,0.59
1610000000000_204,0,99.52,0,0,0.11,28.68,1961,146353,NA,NA,NA,66.44,19.56,46.69,NA,0,0,0,0.57
1610000000000_205,0.48,99.52,0,0,0.11,28.76,1959,204202,NA,NA,NA,58.08,19.56,25.56,NA,0,0,0,0.42
1610000000000_206,0,100,0,0,0.12,28.95,1962,179125,NA,NA,NA,66.86,19.56,29.21,NA,0,0,0,0.63
57700000000000_207,0,100,0,0,0.14,30.2,1986,88255,76.5,5,7531.5,54.34,64.45,29.89,25.9,0,0,0,0.29
57700000000000_208,7.42,57.58,0,0,0.17,28.33,2010,34375,53.5,1,NA,50.18,64.45,49.06,13.95,1,0,0,0.52
57700000000000_209,NA,NA,NA,NA,0.17,28.33,2010,34375,53.5,1,NA,50.18,64.45,49.06,13.95,1,0,0,0.52
57700000000000_210,0,100,0,0,0.18,28.04,1958,87375,60,3,NA,49.96,64.45,48.33,22,0,0,0,0.21
57700000000000_211,0,100,0,0,0.15,29.23,1954,48083,68,4,NA,55.3,64.45,42.44,23.65,0,0,0,0.47
43700000000000_212,0,97.12,0,0,0.12,28.89,1963,185795,8.5,4,NA,13.01,52.82,33.17,6.05,0,0,0,0.44
20700000000000_213,0,95.78,0,0.16,0.14,31.11,2016,48994,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
